[2025-10-21 17:14:18.745] [info] [0] yolo: 70.0ms, tracker: 0.0ms, aimer: 0.0ms
[2025-10-21 17:14:18.840] [info] [1] yolo: 43.7ms, tracker: 1.1ms, aimer: 0.1ms
[2025-10-21 17:14:18.895] [info] [2] yolo: 43.8ms, tracker: 0.0ms, aimer: 0.0ms
[2025-10-21 17:14:19.031] [info] [3] yolo: 93.7ms, tracker: 0.9ms, aimer: 0.1ms
[2025-10-21 17:14:19.144] [info] [4] yolo: 68.4ms, tracker: 1.8ms, aimer: 0.7ms
[2025-10-21 17:14:19.242] [info] [5] yolo: 55.3ms, tracker: 1.3ms, aimer: 0.1ms
[2025-10-21 17:14:19.340] [info] [6] yolo: 50.0ms, tracker: 1.4ms, aimer: 0.1ms
[2025-10-21 17:14:19.449] [info] [7] yolo: 66.5ms, tracker: 1.1ms, aimer: 0.1ms
[2025-10-21 17:14:19.543] [info] [8] yolo: 49.9ms, tracker: 1.0ms, aimer: 0.0ms
[2025-10-21 17:14:19.658] [info] [9] yolo: 72.7ms, tracker: 1.1ms, aimer: 0.1ms
[2025-10-21 17:14:19.758] [info] [10] yolo: 51.9ms, tracker: 2.0ms, aimer: 0.1ms
[2025-10-21 17:14:19.859] [info] [11] yolo: 57.2ms, tracker: 1.1ms, aimer: 0.1ms
[2025-10-21 17:14:19.980] [info] [12] yolo: 78.0ms, tracker: 1.1ms, aimer: 0.1ms
[2025-10-21 17:14:20.088] [info] [13] yolo: 64.4ms, tracker: 1.4ms, aimer: 0.1ms
[2025-10-21 17:14:20.188] [info] [14] yolo: 55.7ms, tracker: 1.2ms, aimer: 0.1ms
[2025-10-21 17:14:20.302] [info] [15] yolo: 70.3ms, tracker: 1.3ms, aimer: 0.0ms
[2025-10-21 17:14:20.413] [info] [16] yolo: 67.9ms, tracker: 1.0ms, aimer: 0.0ms
[2025-10-21 17:14:20.545] [info] [17] yolo: 88.3ms, tracker: 1.1ms, aimer: 0.1ms
[2025-10-21 17:14:20.654] [info] [18] yolo: 65.3ms, tracker: 1.1ms, aimer: 0.1ms
[2025-10-21 17:14:20.750] [info] [19] yolo: 51.9ms, tracker: 1.0ms, aimer: 0.0ms
[2025-10-21 17:14:20.850] [info] [20] yolo: 56.5ms, tracker: 2.2ms, aimer: 0.1ms
[2025-10-21 17:14:20.938] [info] [21] yolo: 43.0ms, tracker: 1.4ms, aimer: 0.1ms
[2025-10-21 17:14:21.029] [info] [22] yolo: 44.7ms, tracker: 1.3ms, aimer: 0.1ms
