[2026-01-06 22:24:48.773] [info] [Gimbal] read_thread started.
[2026-01-06 22:24:48.773] [info] [Gimbal] First q received.
[2026-01-06 22:24:48.943] [info] HikRobot's daemon thread started.
[2026-01-06 22:24:49.197] [info] HikRobot's capture thread started.
[2026-01-06 22:24:51.079] [info] HikRobot's daemon thread started.
[2026-01-06 22:24:51.100] [error] 找不到标识符为 00DA5751514 的相机!
[2026-01-06 22:24:51.200] [warning] MV_CC_StopGrabbing failed: 0x80000000
[2026-01-06 22:24:51.212] [error] 找不到标识符为 00DA5751514 的相机!
[2026-01-06 22:24:51.313] [warning] MV_CC_StopGrabbing failed: 0x80000000
[2026-01-06 22:24:51.333] [error] 找不到标识符为 00DA5751514 的相机!
[2026-01-06 22:24:51.433] [warning] MV_CC_StopGrabbing failed: 0x80000000
[2026-01-06 22:24:51.454] [error] 找不到标识符为 00DA5751514 的相机!
[2026-01-06 22:24:51.554] [warning] MV_CC_StopGrabbing failed: 0x80000000
[2026-01-06 22:24:51.579] [error] 找不到标识符为 00DA5751514 的相机!
[2026-01-06 22:24:51.680] [warning] MV_CC_StopGrabbing failed: 0x80000000
[2026-01-06 22:24:51.700] [error] 找不到标识符为 00DA5751514 的相机!
[2026-01-06 22:24:51.800] [warning] MV_CC_StopGrabbing failed: 0x80000000
[2026-01-06 22:24:51.826] [error] 找不到标识符为 00DA5751514 的相机!
[2026-01-06 22:24:51.926] [warning] MV_CC_StopGrabbing failed: 0x80000000
[2026-01-06 22:24:51.942] [error] 找不到标识符为 00DA5751514 的相机!
[2026-01-06 22:24:52.043] [warning] MV_CC_StopGrabbing failed: 0x80000000
[2026-01-06 22:24:52.083] [error] 找不到标识符为 00DA5751514 的相机!
[2026-01-06 22:24:52.183] [warning] MV_CC_StopGrabbing failed: 0x80000000
[2026-01-06 22:24:52.218] [error] 找不到标识符为 00DA5751514 的相机!
[2026-01-06 22:24:52.318] [warning] MV_CC_StopGrabbing failed: 0x80000000
[2026-01-06 22:24:52.329] [error] 找不到标识符为 00DA5751514 的相机!
[2026-01-06 22:24:52.429] [warning] MV_CC_StopGrabbing failed: 0x80000000
[2026-01-06 22:24:52.446] [error] 找不到标识符为 00DA5751514 的相机!
[2026-01-06 22:24:52.546] [warning] MV_CC_StopGrabbing failed: 0x80000000
[2026-01-06 22:24:52.564] [error] 找不到标识符为 00DA5751514 的相机!
[2026-01-06 22:24:52.664] [warning] MV_CC_StopGrabbing failed: 0x80000000
[2026-01-06 22:24:52.693] [error] 找不到标识符为 00DA5751514 的相机!
[2026-01-06 22:24:52.794] [warning] MV_CC_StopGrabbing failed: 0x80000000
[2026-01-06 22:24:52.824] [error] 找不到标识符为 00DA5751514 的相机!
[2026-01-06 22:24:52.924] [warning] MV_CC_StopGrabbing failed: 0x80000000
[2026-01-06 22:24:52.944] [error] 找不到标识符为 00DA5751514 的相机!
[2026-01-06 22:24:53.044] [warning] MV_CC_StopGrabbing failed: 0x80000000
[2026-01-06 22:24:53.074] [error] 找不到标识符为 00DA5751514 的相机!
[2026-01-06 22:24:53.174] [warning] MV_CC_StopGrabbing failed: 0x80000000
[2026-01-06 22:24:53.199] [error] 找不到标识符为 00DA5751514 的相机!
