[2025-10-21 16:48:41.123] [info] [0] yolo: 100.6ms, tracker: 0.0ms, aimer: 0.0ms
[2025-10-21 16:48:41.217] [info] [1] yolo: 47.1ms, tracker: 4.9ms, aimer: 0.2ms
[2025-10-21 16:48:41.256] [info] [2] yolo: 29.8ms, tracker: 0.0ms, aimer: 0.0ms
[2025-10-21 16:48:41.336] [info] [3] yolo: 36.0ms, tracker: 1.8ms, aimer: 0.1ms
[2025-10-21 16:48:41.436] [info] [4] yolo: 53.6ms, tracker: 1.2ms, aimer: 0.1ms
[2025-10-21 16:48:41.521] [info] [5] yolo: 42.8ms, tracker: 1.0ms, aimer: 0.1ms
[2025-10-21 16:48:41.605] [info] [6] yolo: 40.1ms, tracker: 1.0ms, aimer: 0.0ms
[2025-10-21 16:48:41.698] [info] [7] yolo: 50.3ms, tracker: 1.7ms, aimer: 0.1ms
[2025-10-21 16:48:41.788] [info] [8] yolo: 45.4ms, tracker: 1.0ms, aimer: 0.1ms
[2025-10-21 16:48:41.876] [info] [9] yolo: 43.6ms, tracker: 1.0ms, aimer: 0.1ms
[2025-10-21 16:48:41.958] [info] [10] yolo: 39.0ms, tracker: 1.0ms, aimer: 0.0ms
[2025-10-21 16:48:42.049] [info] [11] yolo: 48.3ms, tracker: 1.5ms, aimer: 0.1ms
[2025-10-21 16:48:42.140] [info] [12] yolo: 47.2ms, tracker: 1.3ms, aimer: 0.1ms
[2025-10-21 16:48:42.230] [info] [13] yolo: 45.7ms, tracker: 1.1ms, aimer: 0.1ms
[2025-10-21 16:48:42.318] [info] [14] yolo: 44.9ms, tracker: 1.0ms, aimer: 0.0ms
[2025-10-21 16:48:42.416] [info] [15] yolo: 52.2ms, tracker: 2.8ms, aimer: 0.1ms
[2025-10-21 16:48:42.508] [info] [16] yolo: 49.2ms, tracker: 1.0ms, aimer: 0.1ms
[2025-10-21 16:48:42.596] [info] [17] yolo: 46.4ms, tracker: 1.0ms, aimer: 0.1ms
[2025-10-21 16:48:42.689] [info] [18] yolo: 49.5ms, tracker: 1.1ms, aimer: 0.1ms
[2025-10-21 16:48:42.781] [info] [19] yolo: 49.3ms, tracker: 1.3ms, aimer: 0.1ms
[2025-10-21 16:48:42.880] [info] [20] yolo: 55.5ms, tracker: 1.2ms, aimer: 0.1ms
[2025-10-21 16:48:42.994] [info] [21] yolo: 69.2ms, tracker: 1.6ms, aimer: 0.1ms
[2025-10-21 16:48:43.094] [info] [22] yolo: 55.7ms, tracker: 1.0ms, aimer: 0.0ms
[2025-10-21 16:48:43.195] [info] [23] yolo: 52.9ms, tracker: 1.3ms, aimer: 0.1ms
[2025-10-21 16:48:43.321] [info] [24] yolo: 76.4ms, tracker: 1.5ms, aimer: 0.1ms
[2025-10-21 16:48:43.430] [info] [25] yolo: 61.6ms, tracker: 1.9ms, aimer: 0.1ms
[2025-10-21 16:48:43.529] [info] [26] yolo: 53.4ms, tracker: 1.4ms, aimer: 0.1ms
[2025-10-21 16:48:43.615] [info] [27] yolo: 42.0ms, tracker: 1.4ms, aimer: 0.1ms
[2025-10-21 16:48:43.698] [info] [28] yolo: 38.5ms, tracker: 1.0ms, aimer: 0.1ms
[2025-10-21 16:48:43.787] [info] [29] yolo: 46.6ms, tracker: 1.1ms, aimer: 0.1ms
[2025-10-21 16:48:43.870] [debug] [Target] r=0.039, l=0.000
[2025-10-21 16:48:43.870] [debug] [Tracker] Target diverged!
[2025-10-21 16:48:43.870] [info] [30] yolo: 37.5ms, tracker: 1.7ms, aimer: 0.0ms
[2025-10-21 16:48:43.968] [info] [31] yolo: 53.0ms, tracker: 1.0ms, aimer: 0.1ms
[2025-10-21 16:48:44.059] [info] [32] yolo: 48.0ms, tracker: 1.0ms, aimer: 0.0ms
[2025-10-21 16:48:44.147] [info] [33] yolo: 46.0ms, tracker: 1.1ms, aimer: 0.1ms
[2025-10-21 16:48:44.250] [info] [34] yolo: 58.6ms, tracker: 1.1ms, aimer: 0.1ms
[2025-10-21 16:48:44.349] [info] [35] yolo: 54.9ms, tracker: 1.7ms, aimer: 0.1ms
[2025-10-21 16:48:44.437] [info] [36] yolo: 44.7ms, tracker: 1.4ms, aimer: 0.1ms
[2025-10-21 16:48:44.531] [info] [37] yolo: 47.9ms, tracker: 1.6ms, aimer: 0.1ms
[2025-10-21 16:48:44.627] [info] [38] yolo: 50.7ms, tracker: 2.7ms, aimer: 0.1ms
