[2026-01-06 16:34:50.115] [info] [Gimbal] read_thread started.
[2026-01-06 16:34:50.115] [info] [Gimbal] First q received.
[2026-01-06 16:34:50.286] [info] HikRobot's daemon thread started.
[2026-01-06 16:34:51.493] [info] HikRobot's capture thread started.
[2026-01-06 16:34:52.421] [info] HikRobot's daemon thread started.
[2026-01-06 16:34:52.431] [error] 找不到标识符为 00DA5751514 的相机!
[2026-01-06 16:34:52.532] [warning] MV_CC_StopGrabbing failed: 0x80000000
[2026-01-06 16:34:52.533] [error] 找不到标识符为 00DA5751514 的相机!
[2026-01-06 16:34:52.633] [warning] MV_CC_StopGrabbing failed: 0x80000000
[2026-01-06 16:34:52.639] [error] 找不到标识符为 00DA5751514 的相机!
[2026-01-06 16:34:52.739] [warning] MV_CC_StopGrabbing failed: 0x80000000
[2026-01-06 16:34:52.746] [error] 找不到标识符为 00DA5751514 的相机!
[2026-01-06 16:34:52.846] [warning] MV_CC_StopGrabbing failed: 0x80000000
[2026-01-06 16:34:52.852] [error] 找不到标识符为 00DA5751514 的相机!
[2026-01-06 16:34:52.952] [warning] MV_CC_StopGrabbing failed: 0x80000000
[2026-01-06 16:34:52.953] [error] 找不到标识符为 00DA5751514 的相机!
[2026-01-06 16:34:53.053] [warning] MV_CC_StopGrabbing failed: 0x80000000
[2026-01-06 16:34:53.059] [error] 找不到标识符为 00DA5751514 的相机!
[2026-01-06 16:34:53.159] [warning] MV_CC_StopGrabbing failed: 0x80000000
[2026-01-06 16:34:53.165] [error] 找不到标识符为 00DA5751514 的相机!
[2026-01-06 16:34:53.265] [warning] MV_CC_StopGrabbing failed: 0x80000000
[2026-01-06 16:34:53.271] [error] 找不到标识符为 00DA5751514 的相机!
[2026-01-06 16:34:53.371] [warning] MV_CC_StopGrabbing failed: 0x80000000
[2026-01-06 16:34:53.372] [error] 找不到标识符为 00DA5751514 的相机!
[2026-01-06 16:34:53.472] [warning] MV_CC_StopGrabbing failed: 0x80000000
[2026-01-06 16:34:53.479] [error] 找不到标识符为 00DA5751514 的相机!
[2026-01-06 16:34:53.579] [warning] MV_CC_StopGrabbing failed: 0x80000000
[2026-01-06 16:34:53.585] [error] 找不到标识符为 00DA5751514 的相机!
[2026-01-06 16:34:53.685] [warning] MV_CC_StopGrabbing failed: 0x80000000
[2026-01-06 16:34:53.687] [error] 找不到标识符为 00DA5751514 的相机!
[2026-01-06 16:34:53.787] [warning] MV_CC_StopGrabbing failed: 0x80000000
[2026-01-06 16:34:53.792] [error] 找不到标识符为 00DA5751514 的相机!
[2026-01-06 16:34:53.892] [warning] MV_CC_StopGrabbing failed: 0x80000000
[2026-01-06 16:34:53.894] [error] 找不到标识符为 00DA5751514 的相机!
[2026-01-06 16:34:53.994] [warning] MV_CC_StopGrabbing failed: 0x80000000
[2026-01-06 16:34:54.000] [error] 找不到标识符为 00DA5751514 的相机!
[2026-01-06 16:34:54.100] [warning] MV_CC_StopGrabbing failed: 0x80000000
[2026-01-06 16:34:54.106] [error] 找不到标识符为 00DA5751514 的相机!
[2026-01-06 16:34:54.207] [warning] MV_CC_StopGrabbing failed: 0x80000000
[2026-01-06 16:34:54.218] [error] 找不到标识符为 00DA5751514 的相机!
[2026-01-06 16:34:54.318] [warning] MV_CC_StopGrabbing failed: 0x80000000
[2026-01-06 16:34:54.326] [error] 找不到标识符为 00DA5751514 的相机!
[2026-01-06 16:34:54.426] [warning] MV_CC_StopGrabbing failed: 0x80000000
[2026-01-06 16:34:54.432] [error] 找不到标识符为 00DA5751514 的相机!
[2026-01-06 16:34:54.532] [warning] MV_CC_StopGrabbing failed: 0x80000000
[2026-01-06 16:34:54.539] [error] 找不到标识符为 00DA5751514 的相机!
