[2025-10-27 19:26:15.348] [info] [0] yolo: 111.2ms, tracker: 0.0ms, aimer: 0.0ms
[2025-10-27 19:26:15.456] [info] [1] yolo: 63.8ms, tracker: 1.2ms, aimer: 0.2ms
[2025-10-27 19:26:15.530] [info] [2] yolo: 64.9ms, tracker: 0.0ms, aimer: 0.0ms
[2025-10-27 19:26:15.611] [info] [3] yolo: 37.0ms, tracker: 1.3ms, aimer: 0.2ms
[2025-10-27 19:26:15.701] [info] [4] yolo: 43.5ms, tracker: 1.4ms, aimer: 0.1ms
[2025-10-27 19:26:15.781] [info] [5] yolo: 35.5ms, tracker: 1.4ms, aimer: 0.1ms
[2025-10-27 19:26:15.865] [info] [6] yolo: 40.3ms, tracker: 1.1ms, aimer: 0.1ms
[2025-10-27 19:26:15.960] [info] [7] yolo: 50.0ms, tracker: 1.0ms, aimer: 0.1ms
[2025-10-27 19:26:16.054] [info] [8] yolo: 48.5ms, tracker: 2.3ms, aimer: 0.1ms
[2025-10-27 19:26:16.158] [info] [9] yolo: 61.5ms, tracker: 1.0ms, aimer: 0.1ms
[2025-10-27 19:26:16.247] [info] [10] yolo: 43.5ms, tracker: 1.2ms, aimer: 0.1ms
[2025-10-27 19:26:16.334] [info] [11] yolo: 43.3ms, tracker: 1.1ms, aimer: 0.1ms
[2025-10-27 19:26:16.427] [info] [12] yolo: 49.0ms, tracker: 1.4ms, aimer: 0.1ms
[2025-10-27 19:26:16.519] [info] [13] yolo: 49.0ms, tracker: 1.1ms, aimer: 0.1ms
[2025-10-27 19:26:16.610] [info] [14] yolo: 45.7ms, tracker: 1.2ms, aimer: 0.1ms
[2025-10-27 19:26:16.708] [info] [15] yolo: 56.4ms, tracker: 1.0ms, aimer: 0.0ms
[2025-10-27 19:26:16.794] [info] [16] yolo: 40.2ms, tracker: 1.2ms, aimer: 0.1ms
[2025-10-27 19:26:16.884] [info] [17] yolo: 47.2ms, tracker: 1.3ms, aimer: 0.1ms
[2025-10-27 19:26:16.981] [info] [18] yolo: 54.6ms, tracker: 1.0ms, aimer: 0.1ms
[2025-10-27 19:26:17.090] [info] [19] yolo: 64.0ms, tracker: 1.0ms, aimer: 0.1ms
[2025-10-27 19:26:17.189] [info] [20] yolo: 50.3ms, tracker: 1.5ms, aimer: 0.1ms
[2025-10-27 19:26:17.265] [info] [21] yolo: 34.0ms, tracker: 1.0ms, aimer: 0.1ms
[2025-10-27 19:26:17.345] [info] [22] yolo: 37.5ms, tracker: 1.2ms, aimer: 0.1ms
[2025-10-27 19:26:17.449] [info] [23] yolo: 62.3ms, tracker: 1.0ms, aimer: 0.1ms
[2025-10-27 19:26:17.565] [info] [24] yolo: 73.3ms, tracker: 1.0ms, aimer: 0.1ms
[2025-10-27 19:26:17.692] [info] [25] yolo: 82.0ms, tracker: 1.2ms, aimer: 0.1ms
[2025-10-27 19:26:17.808] [info] [26] yolo: 70.4ms, tracker: 1.1ms, aimer: 0.1ms
[2025-10-27 19:26:17.914] [info] [27] yolo: 60.2ms, tracker: 1.2ms, aimer: 0.3ms
[2025-10-27 19:26:18.006] [info] [28] yolo: 45.0ms, tracker: 1.5ms, aimer: 0.1ms
[2025-10-27 19:26:18.108] [info] [29] yolo: 57.6ms, tracker: 1.3ms, aimer: 0.1ms
[2025-10-27 19:26:18.186] [debug] [Target] r=0.039, l=0.000
[2025-10-27 19:26:18.186] [debug] [Tracker] Target diverged!
[2025-10-27 19:26:18.186] [info] [30] yolo: 34.3ms, tracker: 1.6ms, aimer: 0.0ms
[2025-10-27 19:26:18.280] [info] [31] yolo: 50.8ms, tracker: 1.3ms, aimer: 0.1ms
[2025-10-27 19:26:18.376] [info] [32] yolo: 52.3ms, tracker: 1.7ms, aimer: 0.1ms
[2025-10-27 19:26:18.483] [info] [33] yolo: 61.7ms, tracker: 1.0ms, aimer: 0.1ms
[2025-10-27 19:26:18.564] [info] [34] yolo: 38.6ms, tracker: 1.0ms, aimer: 0.1ms
[2025-10-27 19:26:18.665] [info] [35] yolo: 59.0ms, tracker: 1.0ms, aimer: 0.1ms
[2025-10-27 19:26:18.750] [info] [36] yolo: 42.0ms, tracker: 1.5ms, aimer: 0.1ms
[2025-10-27 19:26:18.837] [info] [37] yolo: 42.8ms, tracker: 1.0ms, aimer: 0.1ms
[2025-10-27 19:26:18.930] [info] [38] yolo: 46.0ms, tracker: 1.1ms, aimer: 0.1ms
[2025-10-27 19:26:19.018] [info] [39] yolo: 46.3ms, tracker: 1.0ms, aimer: 0.1ms
[2025-10-27 19:26:19.128] [info] [40] yolo: 67.0ms, tracker: 1.0ms, aimer: 0.1ms
[2025-10-27 19:26:19.225] [info] [41] yolo: 52.4ms, tracker: 1.5ms, aimer: 0.1ms
[2025-10-27 19:26:19.310] [info] [42] yolo: 42.9ms, tracker: 1.1ms, aimer: 0.1ms
[2025-10-27 19:26:19.415] [info] [43] yolo: 62.0ms, tracker: 1.2ms, aimer: 0.1ms
[2025-10-27 19:26:19.502] [info] [44] yolo: 43.4ms, tracker: 1.0ms, aimer: 0.1ms
[2025-10-27 19:26:19.601] [info] [45] yolo: 55.2ms, tracker: 0.0ms, aimer: 0.1ms
[2025-10-27 19:26:19.675] [info] [46] yolo: 29.8ms, tracker: 1.1ms, aimer: 0.1ms
[2025-10-27 19:26:19.764] [info] [47] yolo: 46.2ms, tracker: 1.0ms, aimer: 0.1ms
[2025-10-27 19:26:19.844] [info] [48] yolo: 37.5ms, tracker: 1.1ms, aimer: 0.1ms
[2025-10-27 19:26:19.952] [info] [49] yolo: 65.8ms, tracker: 1.1ms, aimer: 0.1ms
