[2025-10-21 17:02:40.102] [info] [0] yolo: 69.0ms, tracker: 0.0ms, aimer: 0.0ms
[2025-10-21 17:02:40.192] [info] [1] yolo: 44.1ms, tracker: 1.2ms, aimer: 0.1ms
[2025-10-21 17:02:40.247] [info] [2] yolo: 43.9ms, tracker: 0.0ms, aimer: 0.0ms
[2025-10-21 17:02:40.338] [info] [3] yolo: 47.8ms, tracker: 0.9ms, aimer: 0.1ms
[2025-10-21 17:02:40.445] [info] [4] yolo: 61.3ms, tracker: 1.1ms, aimer: 0.1ms
[2025-10-21 17:02:40.522] [info] [5] yolo: 34.4ms, tracker: 1.0ms, aimer: 0.0ms
[2025-10-21 17:02:40.610] [info] [6] yolo: 42.7ms, tracker: 2.9ms, aimer: 0.1ms
[2025-10-21 17:02:40.739] [info] [7] yolo: 84.5ms, tracker: 1.0ms, aimer: 0.1ms
[2025-10-21 17:02:40.839] [info] [8] yolo: 55.9ms, tracker: 2.8ms, aimer: 0.1ms
[2025-10-21 17:02:40.959] [info] [9] yolo: 72.2ms, tracker: 1.0ms, aimer: 0.1ms
[2025-10-21 17:02:41.056] [info] [10] yolo: 52.2ms, tracker: 1.0ms, aimer: 0.1ms
[2025-10-21 17:02:41.150] [info] [11] yolo: 49.0ms, tracker: 1.5ms, aimer: 0.1ms
[2025-10-21 17:02:41.235] [info] [12] yolo: 41.7ms, tracker: 1.0ms, aimer: 0.4ms
[2025-10-21 17:02:41.329] [info] [13] yolo: 50.4ms, tracker: 1.4ms, aimer: 0.1ms
[2025-10-21 17:02:41.414] [info] [14] yolo: 40.8ms, tracker: 1.0ms, aimer: 0.1ms
[2025-10-21 17:02:41.506] [info] [15] yolo: 48.8ms, tracker: 1.3ms, aimer: 0.1ms
[2025-10-21 17:02:41.595] [info] [16] yolo: 47.7ms, tracker: 1.2ms, aimer: 0.1ms
[2025-10-21 17:02:41.734] [info] [17] yolo: 95.7ms, tracker: 1.0ms, aimer: 0.1ms
[2025-10-21 17:02:41.832] [info] [18] yolo: 53.7ms, tracker: 1.1ms, aimer: 0.1ms
[2025-10-21 17:02:41.934] [info] [19] yolo: 57.8ms, tracker: 1.9ms, aimer: 0.1ms
[2025-10-21 17:02:42.027] [info] [20] yolo: 51.4ms, tracker: 1.0ms, aimer: 0.1ms
[2025-10-21 17:02:42.141] [info] [21] yolo: 69.9ms, tracker: 2.0ms, aimer: 0.1ms
[2025-10-21 17:02:42.221] [info] [22] yolo: 34.8ms, tracker: 1.2ms, aimer: 0.1ms
[2025-10-21 17:02:42.320] [info] [23] yolo: 56.9ms, tracker: 1.1ms, aimer: 0.1ms
[2025-10-21 17:02:42.392] [info] [24] yolo: 28.7ms, tracker: 1.1ms, aimer: 0.1ms
[2025-10-21 17:02:42.485] [info] [25] yolo: 47.0ms, tracker: 1.0ms, aimer: 0.1ms
[2025-10-21 17:02:42.577] [info] [26] yolo: 48.3ms, tracker: 1.3ms, aimer: 0.1ms
[2025-10-21 17:02:42.668] [info] [27] yolo: 47.3ms, tracker: 1.4ms, aimer: 0.1ms
[2025-10-21 17:02:42.759] [info] [28] yolo: 44.3ms, tracker: 1.0ms, aimer: 0.1ms
[2025-10-21 17:02:42.857] [info] [29] yolo: 52.4ms, tracker: 1.1ms, aimer: 0.1ms
[2025-10-21 17:02:42.935] [debug] [Target] r=0.039, l=0.000
[2025-10-21 17:02:42.935] [debug] [Tracker] Target diverged!
[2025-10-21 17:02:42.935] [info] [30] yolo: 32.6ms, tracker: 1.2ms, aimer: 0.0ms
[2025-10-21 17:02:43.029] [info] [31] yolo: 46.9ms, tracker: 1.2ms, aimer: 0.1ms
[2025-10-21 17:02:43.112] [info] [32] yolo: 37.7ms, tracker: 1.1ms, aimer: 0.1ms
[2025-10-21 17:02:43.213] [info] [33] yolo: 53.4ms, tracker: 2.3ms, aimer: 0.1ms
[2025-10-21 17:02:43.297] [info] [34] yolo: 37.1ms, tracker: 1.5ms, aimer: 0.1ms
[2025-10-21 17:02:43.392] [info] [35] yolo: 48.4ms, tracker: 1.5ms, aimer: 0.1ms
[2025-10-21 17:02:43.492] [info] [36] yolo: 56.6ms, tracker: 1.1ms, aimer: 0.1ms
