[2025-12-19 22:20:19.975] [info] [Gimbal] read_thread started.
[2025-12-19 22:20:19.975] [info] [Gimbal] First q received.
[2025-12-19 22:20:19.977] [info] HikRobot's daemon thread started.
[2025-12-19 22:20:20.301] [info] HikRobot's capture thread started.
[2025-12-19 22:20:20.309] [info] [MultiThreadDetector] initialized !
[2025-12-19 22:20:20.310] [info] 初始化相机: FRONT
[2025-12-19 22:20:22.311] [info] HikRobot's daemon thread started.
[2025-12-19 22:20:22.594] [info] HikRobot's capture thread started.
[2025-12-19 22:20:22.596] [info] [MultiThreadDetector] initialized !
[2025-12-19 22:20:22.597] [info] 初始化相机: BACK
[2025-12-19 22:20:24.772] [debug] [MultiThreadDetector] queue is full!
[2025-12-19 22:20:24.780] [debug] [MultiThreadDetector] queue is full!
[2025-12-19 22:20:24.795] [debug] [MultiThreadDetector] queue is full!
[2025-12-19 22:20:24.821] [debug] [MultiThreadDetector] queue is full!
[2025-12-19 22:20:24.831] [debug] [MultiThreadDetector] queue is full!
[2025-12-19 22:20:24.840] [debug] [MultiThreadDetector] queue is full!
[2025-12-19 22:20:24.856] [debug] [MultiThreadDetector] queue is full!
[2025-12-19 22:20:24.883] [debug] [MultiThreadDetector] queue is full!
[2025-12-19 22:20:24.894] [debug] [MultiThreadDetector] queue is full!
[2025-12-19 22:20:24.943] [debug] [MultiThreadDetector] queue is full!
[2025-12-19 22:20:24.952] [debug] [MultiThreadDetector] queue is full!
[2025-12-19 22:20:24.961] [debug] [MultiThreadDetector] queue is full!
[2025-12-19 22:20:24.971] [debug] [MultiThreadDetector] queue is full!
[2025-12-19 22:20:24.996] [debug] [MultiThreadDetector] queue is full!
[2025-12-19 22:20:25.006] [debug] [MultiThreadDetector] queue is full!
[2025-12-19 22:20:25.041] [debug] [MultiThreadDetector] queue is full!
[2025-12-19 22:20:25.054] [debug] [MultiThreadDetector] queue is full!
[2025-12-19 22:20:25.068] [debug] [MultiThreadDetector] queue is full!
[2025-12-19 22:20:25.078] [debug] [MultiThreadDetector] queue is full!
[2025-12-19 22:20:25.121] [debug] [MultiThreadDetector] queue is full!
[2025-12-19 22:20:25.135] [debug] [MultiThreadDetector] queue is full!
[2025-12-19 22:20:25.177] [debug] [MultiThreadDetector] queue is full!
[2025-12-19 22:20:25.186] [debug] [MultiThreadDetector] queue is full!
[2025-12-19 22:20:25.200] [debug] [MultiThreadDetector] queue is full!
[2025-12-19 22:20:25.218] [debug] [MultiThreadDetector] queue is full!
[2025-12-19 22:20:25.245] [debug] [MultiThreadDetector] queue is full!
[2025-12-19 22:20:25.256] [debug] [MultiThreadDetector] queue is full!
[2025-12-19 22:20:25.418] [debug] [MultiThreadDetector] queue is full!
[2025-12-19 22:20:25.431] [debug] [MultiThreadDetector] queue is full!
[2025-12-19 22:20:25.444] [debug] [MultiThreadDetector] queue is full!
[2025-12-19 22:20:25.453] [debug] [MultiThreadDetector] queue is full!
[2025-12-19 22:20:25.494] [debug] [MultiThreadDetector] queue is full!
[2025-12-19 22:20:25.507] [debug] [MultiThreadDetector] queue is full!
[2025-12-19 22:20:25.552] [debug] [MultiThreadDetector] queue is full!
