[2025-12-14 15:15:43.404] [info] === 海康双相机实时显示 ===
[2025-12-14 15:15:43.404] [info] 相机1序列号: 00DA5751516
[2025-12-14 15:15:46.347] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:46.356] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:46.361] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:46.370] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:46.376] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:46.385] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:46.390] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:46.399] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:46.404] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:46.413] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:46.418] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:46.427] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:46.432] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:46.442] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:46.447] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:46.456] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:46.461] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:46.470] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:46.475] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:46.484] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:46.489] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:46.498] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:46.503] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:46.513] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:46.518] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:46.527] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:46.532] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:46.541] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:46.546] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:46.555] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:46.560] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:46.569] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:46.574] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:46.584] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:46.589] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:46.598] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:46.603] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:46.612] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:46.617] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:46.626] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:46.631] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:46.640] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:46.646] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:46.655] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:46.660] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:46.669] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:46.674] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:46.683] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:46.688] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:46.697] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:46.702] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:46.711] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:46.717] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:46.726] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:46.731] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:46.740] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:46.745] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:46.754] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:46.759] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:46.768] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:46.773] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:46.783] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:46.788] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:46.799] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:46.804] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:46.811] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:46.816] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:46.825] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:46.830] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:46.839] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:46.844] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:46.854] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:46.859] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:46.868] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:46.873] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:46.882] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:46.887] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:46.896] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:46.901] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:46.910] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:46.915] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:46.925] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:46.930] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:46.939] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:46.944] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:46.953] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:46.958] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:46.967] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:46.972] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:46.981] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:46.986] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:46.996] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:47.001] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:47.010] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:47.015] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:47.024] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:47.029] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:47.038] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:47.043] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:47.052] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:47.058] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:47.067] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:47.072] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:47.081] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:47.086] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:47.095] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:47.100] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:47.109] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:47.114] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:47.123] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:47.129] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:47.138] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:47.143] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:47.152] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:47.157] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:47.166] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:47.171] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:47.180] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:47.185] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:47.195] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:47.200] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:47.209] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:47.214] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:47.223] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:47.228] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:47.237] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:47.242] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:47.251] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:47.256] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:47.266] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:47.271] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:47.280] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:47.285] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:47.294] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:47.299] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:47.308] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:47.313] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:47.323] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:47.328] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:47.337] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:47.342] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:47.351] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:47.356] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:47.365] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:47.370] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:47.379] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:47.384] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:47.393] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:47.399] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:47.408] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:47.413] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:47.422] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:47.427] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:47.436] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:47.441] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:47.450] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:47.455] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:47.464] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:47.470] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:47.479] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:47.484] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:47.493] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:47.498] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:47.507] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:47.512] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:47.521] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:47.526] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:47.536] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:47.541] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:47.550] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:47.555] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:47.564] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:47.569] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:47.578] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:47.583] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:47.592] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:47.597] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:47.607] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:47.612] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:47.621] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:47.626] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:47.635] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:47.640] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:47.649] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:47.654] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:47.663] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:47.669] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:47.678] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:47.683] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:47.692] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:47.697] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:47.706] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:47.711] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:47.720] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:47.725] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:47.734] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:47.740] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:47.749] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:47.754] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:47.763] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:47.768] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:47.777] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:47.782] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:47.791] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:47.796] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:47.805] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:47.811] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:47.820] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:47.825] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:47.834] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:47.839] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:47.848] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:47.853] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:47.862] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:47.867] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:47.877] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:47.882] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:47.891] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:47.896] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:47.905] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:47.910] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:47.919] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:47.924] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:47.933] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:47.938] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:47.948] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:47.953] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:47.962] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:47.967] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:47.976] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:47.981] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:47.990] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:47.995] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:48.004] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:48.010] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:48.019] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:48.024] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:48.033] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:48.038] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:48.047] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:48.052] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:48.061] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:48.066] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:48.075] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:48.081] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:48.090] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:48.095] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:48.104] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:48.109] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:48.118] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:48.123] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:48.132] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:48.137] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:48.146] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:48.152] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:48.161] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:48.166] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:48.175] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:48.180] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:48.189] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:48.194] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:48.203] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:48.208] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:48.217] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:48.223] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:48.232] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:48.237] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:48.246] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:48.251] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:48.260] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:48.265] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:48.274] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:48.279] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:48.289] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:48.294] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:48.303] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:48.308] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:48.317] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:48.322] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:48.331] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:48.336] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:48.345] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:48.350] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:48.360] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:48.365] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:48.374] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:48.379] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:48.388] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:48.393] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:48.402] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:48.407] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:48.416] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:48.422] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:48.431] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:48.436] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:48.445] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:48.450] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:48.459] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:48.464] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:48.473] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:48.478] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:48.487] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:48.493] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:48.502] [warning] 不支持的像素格式: 17301513
[2025-12-14 15:15:48.507] [warning] 不支持的像素格式: 17301513
