[2025-10-21 16:59:26.429] [info] [0] yolo: 68.4ms, tracker: 0.0ms, aimer: 0.0ms
[2025-10-21 16:59:26.509] [info] [1] yolo: 36.5ms, tracker: 1.2ms, aimer: 0.1ms
[2025-10-21 16:59:26.565] [info] [2] yolo: 47.0ms, tracker: 0.2ms, aimer: 0.0ms
[2025-10-21 16:59:26.655] [info] [3] yolo: 45.0ms, tracker: 0.9ms, aimer: 0.1ms
[2025-10-21 16:59:26.764] [info] [4] yolo: 67.5ms, tracker: 1.4ms, aimer: 0.1ms
[2025-10-21 16:59:26.856] [info] [5] yolo: 50.0ms, tracker: 1.1ms, aimer: 0.1ms
[2025-10-21 16:59:26.968] [info] [6] yolo: 67.3ms, tracker: 1.3ms, aimer: 0.1ms
[2025-10-21 16:59:27.070] [info] [7] yolo: 59.9ms, tracker: 1.1ms, aimer: 0.1ms
[2025-10-21 16:59:27.180] [info] [8] yolo: 62.6ms, tracker: 1.3ms, aimer: 0.1ms
[2025-10-21 16:59:27.271] [info] [9] yolo: 46.1ms, tracker: 2.5ms, aimer: 0.1ms
[2025-10-21 16:59:27.370] [info] [10] yolo: 52.2ms, tracker: 1.0ms, aimer: 0.1ms
[2025-10-21 16:59:27.480] [info] [11] yolo: 64.8ms, tracker: 1.2ms, aimer: 0.1ms
[2025-10-21 16:59:27.571] [info] [12] yolo: 45.3ms, tracker: 1.2ms, aimer: 0.1ms
[2025-10-21 16:59:27.663] [info] [13] yolo: 49.8ms, tracker: 1.0ms, aimer: 0.1ms
[2025-10-21 16:59:27.809] [info] [14] yolo: 99.3ms, tracker: 1.2ms, aimer: 0.1ms
[2025-10-21 16:59:27.918] [info] [15] yolo: 63.7ms, tracker: 1.5ms, aimer: 1.1ms
[2025-10-21 16:59:28.019] [info] [16] yolo: 54.2ms, tracker: 2.3ms, aimer: 0.1ms
[2025-10-21 16:59:28.107] [info] [17] yolo: 45.7ms, tracker: 1.0ms, aimer: 0.1ms
[2025-10-21 16:59:28.206] [info] [18] yolo: 56.7ms, tracker: 1.1ms, aimer: 0.1ms
[2025-10-21 16:59:28.297] [info] [19] yolo: 45.7ms, tracker: 1.5ms, aimer: 0.1ms
[2025-10-21 16:59:28.385] [info] [20] yolo: 46.4ms, tracker: 1.2ms, aimer: 0.3ms
[2025-10-21 16:59:28.469] [info] [21] yolo: 41.7ms, tracker: 1.1ms, aimer: 0.1ms
[2025-10-21 16:59:28.570] [info] [22] yolo: 55.8ms, tracker: 1.1ms, aimer: 0.1ms
[2025-10-21 16:59:28.654] [info] [23] yolo: 38.7ms, tracker: 1.4ms, aimer: 0.1ms
[2025-10-21 16:59:28.761] [info] [24] yolo: 61.7ms, tracker: 1.0ms, aimer: 0.1ms
[2025-10-21 16:59:28.853] [info] [25] yolo: 48.2ms, tracker: 1.2ms, aimer: 0.1ms
[2025-10-21 16:59:28.961] [info] [26] yolo: 64.9ms, tracker: 1.1ms, aimer: 0.1ms
[2025-10-21 16:59:29.058] [info] [27] yolo: 52.1ms, tracker: 1.3ms, aimer: 0.1ms
[2025-10-21 16:59:29.158] [info] [28] yolo: 53.7ms, tracker: 1.0ms, aimer: 0.1ms
[2025-10-21 16:59:29.267] [info] [29] yolo: 58.8ms, tracker: 1.2ms, aimer: 0.1ms
[2025-10-21 16:59:29.368] [debug] [Target] r=0.039, l=0.000
[2025-10-21 16:59:29.368] [debug] [Tracker] Target diverged!
[2025-10-21 16:59:29.368] [info] [30] yolo: 57.6ms, tracker: 1.3ms, aimer: 0.0ms
[2025-10-21 16:59:29.465] [info] [31] yolo: 48.5ms, tracker: 1.2ms, aimer: 0.1ms
[2025-10-21 16:59:29.553] [info] [32] yolo: 43.0ms, tracker: 2.1ms, aimer: 0.1ms
[2025-10-21 16:59:29.633] [info] [33] yolo: 35.9ms, tracker: 2.3ms, aimer: 0.2ms
[2025-10-21 16:59:29.717] [info] [34] yolo: 39.6ms, tracker: 1.0ms, aimer: 0.1ms
[2025-10-21 16:59:29.807] [info] [35] yolo: 46.9ms, tracker: 1.3ms, aimer: 0.1ms
[2025-10-21 16:59:29.905] [info] [36] yolo: 56.3ms, tracker: 1.2ms, aimer: 0.1ms
[2025-10-21 16:59:30.012] [info] [37] yolo: 62.0ms, tracker: 1.0ms, aimer: 0.1ms
[2025-10-21 16:59:30.097] [info] [38] yolo: 43.5ms, tracker: 1.0ms, aimer: 0.1ms
[2025-10-21 16:59:30.198] [info] [39] yolo: 55.4ms, tracker: 1.0ms, aimer: 0.1ms
[2025-10-21 16:59:30.293] [info] [40] yolo: 49.3ms, tracker: 1.1ms, aimer: 0.2ms
[2025-10-21 16:59:30.399] [info] [41] yolo: 60.9ms, tracker: 1.2ms, aimer: 0.1ms
[2025-10-21 16:59:30.504] [info] [42] yolo: 54.8ms, tracker: 1.0ms, aimer: 0.1ms
[2025-10-21 16:59:30.604] [info] [43] yolo: 56.0ms, tracker: 2.6ms, aimer: 0.2ms
[2025-10-21 16:59:30.712] [info] [44] yolo: 64.9ms, tracker: 1.3ms, aimer: 0.1ms
[2025-10-21 16:59:30.816] [info] [45] yolo: 59.8ms, tracker: 0.0ms, aimer: 0.1ms
[2025-10-21 16:59:30.906] [info] [46] yolo: 40.7ms, tracker: 2.8ms, aimer: 0.1ms
[2025-10-21 16:59:31.009] [info] [47] yolo: 59.7ms, tracker: 2.2ms, aimer: 0.1ms
[2025-10-21 16:59:31.115] [info] [48] yolo: 59.8ms, tracker: 1.7ms, aimer: 0.1ms
[2025-10-21 16:59:31.219] [info] [49] yolo: 61.7ms, tracker: 1.9ms, aimer: 0.1ms
[2025-10-21 16:59:31.304] [info] [50] yolo: 40.0ms, tracker: 1.3ms, aimer: 0.1ms
[2025-10-21 16:59:31.392] [info] [51] yolo: 46.5ms, tracker: 1.0ms, aimer: 0.1ms
[2025-10-21 16:59:31.473] [info] [52] yolo: 35.6ms, tracker: 1.3ms, aimer: 0.1ms
[2025-10-21 16:59:31.557] [info] [53] yolo: 41.5ms, tracker: 0.0ms, aimer: 0.1ms
[2025-10-21 16:59:31.650] [info] [54] yolo: 52.0ms, tracker: 0.0ms, aimer: 0.1ms
[2025-10-21 16:59:31.740] [info] [55] yolo: 47.1ms, tracker: 0.0ms, aimer: 0.1ms
[2025-10-21 16:59:31.838] [info] [56] yolo: 56.5ms, tracker: 0.1ms, aimer: 0.1ms
[2025-10-21 16:59:31.940] [info] [57] yolo: 55.9ms, tracker: 0.1ms, aimer: 0.1ms
[2025-10-21 16:59:32.037] [info] [58] yolo: 55.9ms, tracker: 0.0ms, aimer: 0.1ms
[2025-10-21 16:59:32.145] [info] [59] yolo: 62.3ms, tracker: 0.0ms, aimer: 0.1ms
[2025-10-21 16:59:32.245] [info] [60] yolo: 53.4ms, tracker: 2.0ms, aimer: 0.2ms
[2025-10-21 16:59:32.350] [info] [61] yolo: 61.1ms, tracker: 1.6ms, aimer: 0.2ms
[2025-10-21 16:59:32.454] [info] [62] yolo: 57.5ms, tracker: 1.4ms, aimer: 0.1ms
[2025-10-21 16:59:32.558] [info] [63] yolo: 59.3ms, tracker: 2.2ms, aimer: 0.1ms
[2025-10-21 16:59:32.640] [info] [64] yolo: 36.9ms, tracker: 3.3ms, aimer: 0.2ms
[2025-10-21 16:59:32.728] [info] [65] yolo: 44.2ms, tracker: 0.0ms, aimer: 0.1ms
[2025-10-21 16:59:32.825] [info] [66] yolo: 53.6ms, tracker: 0.0ms, aimer: 0.1ms
[2025-10-21 16:59:32.910] [info] [67] yolo: 43.2ms, tracker: 1.0ms, aimer: 0.1ms
[2025-10-21 16:59:33.000] [info] [68] yolo: 46.7ms, tracker: 1.7ms, aimer: 0.1ms
[2025-10-21 16:59:33.102] [info] [69] yolo: 55.6ms, tracker: 0.0ms, aimer: 0.1ms
[2025-10-21 16:59:33.213] [info] [70] yolo: 69.1ms, tracker: 0.0ms, aimer: 0.1ms
[2025-10-21 16:59:33.316] [info] [71] yolo: 57.2ms, tracker: 1.2ms, aimer: 0.1ms
[2025-10-21 16:59:33.431] [info] [72] yolo: 73.0ms, tracker: 0.0ms, aimer: 0.1ms
[2025-10-21 16:59:33.514] [info] [73] yolo: 39.1ms, tracker: 1.4ms, aimer: 0.1ms
[2025-10-21 16:59:33.613] [info] [74] yolo: 51.7ms, tracker: 1.0ms, aimer: 0.1ms
[2025-10-21 16:59:33.711] [info] [75] yolo: 53.2ms, tracker: 1.0ms, aimer: 0.1ms
[2025-10-21 16:59:33.827] [info] [76] yolo: 70.7ms, tracker: 1.0ms, aimer: 0.1ms
[2025-10-21 16:59:33.932] [info] [77] yolo: 61.8ms, tracker: 1.2ms, aimer: 0.1ms
[2025-10-21 16:59:34.040] [info] [78] yolo: 62.7ms, tracker: 2.3ms, aimer: 0.3ms
[2025-10-21 16:59:34.139] [info] [79] yolo: 52.3ms, tracker: 1.0ms, aimer: 0.1ms
[2025-10-21 16:59:34.237] [info] [80] yolo: 53.3ms, tracker: 1.2ms, aimer: 0.1ms
[2025-10-21 16:59:34.313] [info] [81] yolo: 34.8ms, tracker: 0.0ms, aimer: 0.1ms
[2025-10-21 16:59:34.403] [info] [82] yolo: 46.8ms, tracker: 0.0ms, aimer: 0.1ms
[2025-10-21 16:59:34.489] [info] [83] yolo: 43.7ms, tracker: 0.0ms, aimer: 0.1ms
[2025-10-21 16:59:34.591] [info] [84] yolo: 56.3ms, tracker: 0.0ms, aimer: 0.1ms
[2025-10-21 16:59:34.689] [info] [85] yolo: 57.0ms, tracker: 0.1ms, aimer: 0.1ms
[2025-10-21 16:59:34.772] [info] [86] yolo: 39.9ms, tracker: 0.0ms, aimer: 0.1ms
[2025-10-21 16:59:34.866] [info] [87] yolo: 49.8ms, tracker: 0.0ms, aimer: 0.1ms
[2025-10-21 16:59:34.961] [info] [88] yolo: 52.2ms, tracker: 0.0ms, aimer: 0.1ms
[2025-10-21 16:59:35.069] [info] [89] yolo: 66.7ms, tracker: 0.1ms, aimer: 0.1ms
[2025-10-21 16:59:35.160] [info] [90] yolo: 44.8ms, tracker: 0.0ms, aimer: 0.1ms
[2025-10-21 16:59:35.257] [info] [91] yolo: 55.9ms, tracker: 0.0ms, aimer: 0.1ms
[2025-10-21 16:59:35.347] [info] [92] yolo: 47.9ms, tracker: 0.0ms, aimer: 0.1ms
[2025-10-21 16:59:35.458] [info] [93] yolo: 65.9ms, tracker: 0.0ms, aimer: 0.2ms
[2025-10-21 16:59:35.562] [debug] [Target] r=0.158, l=-0.117
[2025-10-21 16:59:35.563] [debug] [Tracker] Target diverged!
[2025-10-21 16:59:35.563] [info] [94] yolo: 59.0ms, tracker: 1.1ms, aimer: 0.0ms
[2025-10-21 16:59:35.665] [info] [95] yolo: 60.5ms, tracker: 0.0ms, aimer: 0.0ms
[2025-10-21 16:59:35.769] [info] [96] yolo: 55.9ms, tracker: 1.6ms, aimer: 0.1ms
[2025-10-21 16:59:35.859] [info] [97] yolo: 48.9ms, tracker: 0.0ms, aimer: 0.0ms
[2025-10-21 16:59:35.937] [info] [98] yolo: 33.4ms, tracker: 1.5ms, aimer: 0.3ms
[2025-10-21 16:59:36.039] [info] [99] yolo: 58.9ms, tracker: 0.0ms, aimer: 0.0ms
[2025-10-21 16:59:36.134] [info] [100] yolo: 52.1ms, tracker: 0.0ms, aimer: 0.0ms
[2025-10-21 16:59:36.223] [info] [101] yolo: 46.5ms, tracker: 0.0ms, aimer: 0.0ms
