[2025-12-20 19:31:13.841] [info] [Gimbal] read_thread started.
[2025-12-20 19:31:13.841] [info] [Gimbal] First q received.
[2025-12-20 19:31:13.842] [info] HikRobot's daemon thread started.
[2025-12-20 19:31:14.154] [info] [MultiThreadDetector] initialized !
[2025-12-20 19:31:14.155] [info] 初始化相机: FRONT
[2025-12-20 19:31:14.156] [info] HikRobot's capture thread started.
[2025-12-20 19:31:16.156] [info] HikRobot's daemon thread started.
[2025-12-20 19:31:16.449] [info] [MultiThreadDetector] initialized !
[2025-12-20 19:31:16.450] [info] 初始化相机: BACK
[2025-12-20 19:31:16.452] [info] HikRobot's capture thread started.
[2025-12-20 19:31:18.511] [warning] [Tracker] Large dt: 4.286s
[2025-12-20 19:31:19.548] [debug] [MultiThreadDetector] queue is full!
[2025-12-20 19:31:19.552] [debug] [MultiThreadDetector] queue is full!
[2025-12-20 19:31:20.216] [debug] [MultiThreadDetector] queue is full!
[2025-12-20 19:31:20.292] [debug] [MultiThreadDetector] queue is full!
[2025-12-20 19:31:20.308] [debug] [MultiThreadDetector] queue is full!
[2025-12-20 19:31:20.343] [debug] [MultiThreadDetector] queue is full!
[2025-12-20 19:31:20.688] [debug] [MultiThreadDetector] queue is full!
[2025-12-20 19:31:20.776] [debug] [MultiThreadDetector] queue is full!
[2025-12-20 19:31:20.847] [debug] [MultiThreadDetector] queue is full!
[2025-12-20 19:31:21.161] [debug] [MultiThreadDetector] queue is full!
[2025-12-20 19:31:21.223] [debug] [MultiThreadDetector] queue is full!
[2025-12-20 19:31:21.248] [debug] [MultiThreadDetector] queue is full!
[2025-12-20 19:31:21.284] [debug] [MultiThreadDetector] queue is full!
[2025-12-20 19:31:21.443] [debug] [MultiThreadDetector] queue is full!
[2025-12-20 19:31:21.854] [debug] [MultiThreadDetector] queue is full!
[2025-12-20 19:31:21.936] [debug] [MultiThreadDetector] queue is full!
[2025-12-20 19:31:21.936] [debug] [MultiThreadDetector] queue is full!
[2025-12-20 19:31:22.039] [debug] [MultiThreadDetector] queue is full!
[2025-12-20 19:31:22.070] [debug] [MultiThreadDetector] queue is full!
[2025-12-20 19:31:22.122] [debug] [MultiThreadDetector] queue is full!
[2025-12-20 19:31:22.179] [debug] [MultiThreadDetector] queue is full!
[2025-12-20 19:31:22.226] [debug] [MultiThreadDetector] queue is full!
[2025-12-20 19:31:22.261] [debug] [MultiThreadDetector] queue is full!
[2025-12-20 19:31:22.306] [debug] [MultiThreadDetector] queue is full!
[2025-12-20 19:31:22.426] [debug] [MultiThreadDetector] queue is full!
[2025-12-20 19:31:22.574] [debug] [MultiThreadDetector] queue is full!
[2025-12-20 19:31:22.606] [debug] [MultiThreadDetector] queue is full!
[2025-12-20 19:31:22.687] [debug] [MultiThreadDetector] queue is full!
[2025-12-20 19:31:22.734] [debug] [MultiThreadDetector] queue is full!
[2025-12-20 19:31:22.738] [debug] [MultiThreadDetector] queue is full!
[2025-12-20 19:31:22.898] [debug] [MultiThreadDetector] queue is full!
[2025-12-20 19:31:23.073] [debug] [MultiThreadDetector] queue is full!
[2025-12-20 19:31:23.248] [debug] [MultiThreadDetector] queue is full!
[2025-12-20 19:31:23.293] [debug] [MultiThreadDetector] queue is full!
[2025-12-20 19:31:23.345] [debug] [MultiThreadDetector] queue is full!
[2025-12-20 19:31:23.422] [debug] [MultiThreadDetector] queue is full!
[2025-12-20 19:31:23.967] [debug] [MultiThreadDetector] queue is full!
[2025-12-20 19:31:24.003] [debug] [MultiThreadDetector] queue is full!
[2025-12-20 19:31:24.254] [debug] [MultiThreadDetector] queue is full!
[2025-12-20 19:31:24.471] [debug] [MultiThreadDetector] queue is full!
[2025-12-20 19:31:24.486] [debug] [MultiThreadDetector] queue is full!
[2025-12-20 19:31:24.578] [debug] [MultiThreadDetector] queue is full!
[2025-12-20 19:31:24.707] [debug] [MultiThreadDetector] queue is full!
[2025-12-20 19:31:24.758] [debug] [MultiThreadDetector] queue is full!
[2025-12-20 19:31:24.763] [debug] [MultiThreadDetector] queue is full!
[2025-12-20 19:31:24.809] [debug] [MultiThreadDetector] queue is full!
[2025-12-20 19:31:24.814] [debug] [MultiThreadDetector] queue is full!
[2025-12-20 19:31:24.861] [debug] [MultiThreadDetector] queue is full!
[2025-12-20 19:31:24.938] [debug] [MultiThreadDetector] queue is full!
[2025-12-20 19:31:24.964] [debug] [MultiThreadDetector] queue is full!
[2025-12-20 19:31:24.989] [debug] [MultiThreadDetector] queue is full!
[2025-12-20 19:31:25.006] [debug] [MultiThreadDetector] queue is full!
[2025-12-20 19:31:25.081] [debug] [MultiThreadDetector] queue is full!
[2025-12-20 19:31:25.246] [debug] [MultiThreadDetector] queue is full!
[2025-12-20 19:31:25.503] [debug] [MultiThreadDetector] queue is full!
[2025-12-20 19:31:25.529] [debug] [MultiThreadDetector] queue is full!
[2025-12-20 19:31:25.554] [debug] [MultiThreadDetector] queue is full!
[2025-12-20 19:31:25.570] [debug] [MultiThreadDetector] queue is full!
[2025-12-20 19:31:25.585] [debug] [MultiThreadDetector] queue is full!
[2025-12-20 19:31:25.698] [debug] [MultiThreadDetector] queue is full!
[2025-12-20 19:31:25.719] [debug] [MultiThreadDetector] queue is full!
[2025-12-20 19:31:25.807] [debug] [MultiThreadDetector] queue is full!
[2025-12-20 19:31:25.811] [debug] [MultiThreadDetector] queue is full!
[2025-12-20 19:31:25.889] [debug] [MultiThreadDetector] queue is full!
[2025-12-20 19:31:26.089] [debug] [MultiThreadDetector] queue is full!
[2025-12-20 19:31:26.146] [debug] [MultiThreadDetector] queue is full!
[2025-12-20 19:31:26.181] [debug] [MultiThreadDetector] queue is full!
[2025-12-20 19:31:26.207] [debug] [MultiThreadDetector] queue is full!
[2025-12-20 19:31:26.222] [debug] [MultiThreadDetector] queue is full!
[2025-12-20 19:31:26.346] [debug] [MultiThreadDetector] queue is full!
[2025-12-20 19:31:26.516] [debug] [MultiThreadDetector] queue is full!
[2025-12-20 19:31:26.643] [debug] [MultiThreadDetector] queue is full!
[2025-12-20 19:31:26.705] [debug] [MultiThreadDetector] queue is full!
[2025-12-20 19:31:26.731] [debug] [MultiThreadDetector] queue is full!
[2025-12-20 19:31:26.819] [debug] [MultiThreadDetector] queue is full!
[2025-12-20 19:31:27.245] [debug] [MultiThreadDetector] queue is full!
[2025-12-20 19:31:27.376] [debug] [MultiThreadDetector] queue is full!
[2025-12-20 19:31:27.404] [debug] [MultiThreadDetector] queue is full!
[2025-12-20 19:31:27.486] [debug] [MultiThreadDetector] queue is full!
[2025-12-20 19:31:27.492] [debug] [MultiThreadDetector] queue is full!
[2025-12-20 19:31:27.507] [debug] [MultiThreadDetector] queue is full!
[2025-12-20 19:31:27.565] [debug] [MultiThreadDetector] queue is full!
[2025-12-20 19:31:27.569] [debug] [MultiThreadDetector] queue is full!
[2025-12-20 19:31:27.646] [debug] [MultiThreadDetector] queue is full!
[2025-12-20 19:31:27.661] [debug] [MultiThreadDetector] queue is full!
[2025-12-20 19:31:27.722] [debug] [MultiThreadDetector] queue is full!
[2025-12-20 19:31:27.770] [debug] [MultiThreadDetector] queue is full!
[2025-12-20 19:31:27.887] [debug] [MultiThreadDetector] queue is full!
[2025-12-20 19:31:27.990] [debug] [MultiThreadDetector] queue is full!
[2025-12-20 19:31:28.284] [debug] [MultiThreadDetector] queue is full!
[2025-12-20 19:31:28.299] [debug] [MultiThreadDetector] queue is full!
[2025-12-20 19:31:28.396] [debug] [MultiThreadDetector] queue is full!
[2025-12-20 19:31:28.442] [debug] [MultiThreadDetector] queue is full!
[2025-12-20 19:31:28.532] [debug] [MultiThreadDetector] queue is full!
[2025-12-20 19:31:28.535] [debug] [MultiThreadDetector] queue is full!
[2025-12-20 19:31:28.633] [debug] [MultiThreadDetector] queue is full!
[2025-12-20 19:31:28.777] [debug] [MultiThreadDetector] queue is full!
[2025-12-20 19:31:28.781] [debug] [MultiThreadDetector] queue is full!
[2025-12-20 19:31:28.849] [debug] [MultiThreadDetector] queue is full!
[2025-12-20 19:31:28.863] [debug] [MultiThreadDetector] queue is full!
[2025-12-20 19:31:29.130] [debug] [MultiThreadDetector] queue is full!
[2025-12-20 19:31:29.157] [debug] [MultiThreadDetector] queue is full!
[2025-12-20 19:31:29.315] [debug] [MultiThreadDetector] queue is full!
[2025-12-20 19:31:29.445] [debug] [MultiThreadDetector] queue is full!
[2025-12-20 19:31:29.449] [debug] [MultiThreadDetector] queue is full!
[2025-12-20 19:31:29.825] [debug] [MultiThreadDetector] queue is full!
[2025-12-20 19:31:30.154] [debug] [MultiThreadDetector] queue is full!
