[2025-10-21 17:15:42.370] [info] [0] yolo: 75.2ms, tracker: 0.0ms, aimer: 0.0ms
[2025-10-21 17:15:42.475] [info] [1] yolo: 53.3ms, tracker: 1.2ms, aimer: 0.1ms
[2025-10-21 17:15:42.537] [info] [2] yolo: 51.0ms, tracker: 0.0ms, aimer: 0.0ms
[2025-10-21 17:15:42.664] [info] [3] yolo: 84.8ms, tracker: 1.2ms, aimer: 0.1ms
[2025-10-21 17:15:42.797] [info] [4] yolo: 87.0ms, tracker: 1.0ms, aimer: 0.1ms
[2025-10-21 17:15:42.904] [info] [5] yolo: 58.3ms, tracker: 1.2ms, aimer: 0.1ms
[2025-10-21 17:15:43.021] [info] [6] yolo: 71.6ms, tracker: 1.2ms, aimer: 0.1ms
[2025-10-21 17:15:43.129] [info] [7] yolo: 62.5ms, tracker: 1.0ms, aimer: 0.1ms
[2025-10-21 17:15:43.231] [info] [8] yolo: 54.6ms, tracker: 1.2ms, aimer: 0.1ms
[2025-10-21 17:15:43.343] [info] [9] yolo: 69.4ms, tracker: 1.3ms, aimer: 0.1ms
[2025-10-21 17:15:43.423] [info] [10] yolo: 31.7ms, tracker: 1.7ms, aimer: 0.1ms
[2025-10-21 17:15:43.520] [info] [11] yolo: 53.3ms, tracker: 1.1ms, aimer: 0.1ms
[2025-10-21 17:15:43.612] [info] [12] yolo: 49.5ms, tracker: 1.0ms, aimer: 0.1ms
[2025-10-21 17:15:43.707] [info] [13] yolo: 50.5ms, tracker: 1.0ms, aimer: 0.1ms
[2025-10-21 17:15:43.805] [info] [14] yolo: 55.2ms, tracker: 1.6ms, aimer: 0.1ms
[2025-10-21 17:15:43.896] [info] [15] yolo: 48.4ms, tracker: 1.1ms, aimer: 0.1ms
[2025-10-21 17:15:44.003] [info] [16] yolo: 64.3ms, tracker: 1.2ms, aimer: 0.1ms
[2025-10-21 17:15:44.103] [info] [17] yolo: 54.9ms, tracker: 1.7ms, aimer: 0.2ms
[2025-10-21 17:15:44.209] [info] [18] yolo: 63.6ms, tracker: 1.1ms, aimer: 0.1ms
[2025-10-21 17:15:44.299] [info] [19] yolo: 46.2ms, tracker: 1.0ms, aimer: 0.1ms
[2025-10-21 17:15:44.396] [info] [20] yolo: 51.5ms, tracker: 2.1ms, aimer: 0.1ms
[2025-10-21 17:15:44.497] [info] [21] yolo: 56.5ms, tracker: 2.0ms, aimer: 0.1ms
[2025-10-21 17:15:44.613] [info] [22] yolo: 71.6ms, tracker: 1.7ms, aimer: 0.1ms
[2025-10-21 17:15:44.727] [info] [23] yolo: 70.5ms, tracker: 1.0ms, aimer: 0.1ms
[2025-10-21 17:15:44.825] [info] [24] yolo: 54.5ms, tracker: 1.3ms, aimer: 0.1ms
[2025-10-21 17:15:44.910] [info] [25] yolo: 42.7ms, tracker: 1.3ms, aimer: 0.3ms
[2025-10-21 17:15:45.018] [info] [26] yolo: 62.2ms, tracker: 1.1ms, aimer: 0.1ms
[2025-10-21 17:15:45.118] [info] [27] yolo: 52.6ms, tracker: 1.5ms, aimer: 0.1ms
[2025-10-21 17:15:45.210] [info] [28] yolo: 47.2ms, tracker: 1.2ms, aimer: 0.1ms
[2025-10-21 17:15:45.306] [info] [29] yolo: 49.6ms, tracker: 1.3ms, aimer: 0.1ms
[2025-10-21 17:15:45.395] [debug] [Target] r=0.039, l=0.000
[2025-10-21 17:15:45.395] [debug] [Tracker] Target diverged!
[2025-10-21 17:15:45.395] [info] [30] yolo: 45.2ms, tracker: 1.1ms, aimer: 0.0ms
[2025-10-21 17:15:45.499] [info] [31] yolo: 59.3ms, tracker: 2.0ms, aimer: 0.1ms
[2025-10-21 17:15:45.584] [info] [32] yolo: 41.4ms, tracker: 2.2ms, aimer: 0.1ms
[2025-10-21 17:15:45.669] [info] [33] yolo: 42.2ms, tracker: 1.2ms, aimer: 0.1ms
[2025-10-21 17:15:45.752] [info] [34] yolo: 39.7ms, tracker: 1.0ms, aimer: 0.1ms
[2025-10-21 17:15:45.839] [info] [35] yolo: 43.1ms, tracker: 1.3ms, aimer: 0.1ms
[2025-10-21 17:15:45.919] [info] [36] yolo: 38.8ms, tracker: 1.0ms, aimer: 0.1ms
[2025-10-21 17:15:46.003] [info] [37] yolo: 41.4ms, tracker: 1.0ms, aimer: 0.1ms
[2025-10-21 17:15:46.097] [info] [38] yolo: 51.6ms, tracker: 1.1ms, aimer: 0.1ms
[2025-10-21 17:15:46.192] [info] [39] yolo: 51.4ms, tracker: 1.2ms, aimer: 0.1ms
[2025-10-21 17:15:46.299] [info] [40] yolo: 64.0ms, tracker: 1.0ms, aimer: 0.1ms
[2025-10-21 17:15:46.392] [info] [41] yolo: 50.0ms, tracker: 1.6ms, aimer: 0.1ms
[2025-10-21 17:15:46.491] [info] [42] yolo: 54.2ms, tracker: 2.0ms, aimer: 0.1ms
[2025-10-21 17:15:46.583] [info] [43] yolo: 43.8ms, tracker: 1.8ms, aimer: 0.2ms
[2025-10-21 17:15:46.689] [info] [44] yolo: 62.0ms, tracker: 2.1ms, aimer: 0.1ms
[2025-10-21 17:15:46.782] [info] [45] yolo: 49.0ms, tracker: 0.0ms, aimer: 0.1ms
[2025-10-21 17:15:46.881] [info] [46] yolo: 56.9ms, tracker: 1.0ms, aimer: 0.1ms
[2025-10-21 17:15:46.980] [info] [47] yolo: 56.1ms, tracker: 2.3ms, aimer: 0.1ms
[2025-10-21 17:15:47.084] [info] [48] yolo: 62.5ms, tracker: 1.8ms, aimer: 0.1ms
[2025-10-21 17:15:47.198] [info] [49] yolo: 66.6ms, tracker: 1.0ms, aimer: 0.1ms
[2025-10-21 17:15:47.288] [info] [50] yolo: 46.4ms, tracker: 2.1ms, aimer: 0.1ms
[2025-10-21 17:15:47.390] [info] [51] yolo: 58.4ms, tracker: 1.4ms, aimer: 0.1ms
[2025-10-21 17:15:47.476] [info] [52] yolo: 43.0ms, tracker: 1.3ms, aimer: 0.1ms
[2025-10-21 17:15:47.583] [info] [53] yolo: 65.3ms, tracker: 0.0ms, aimer: 0.1ms
[2025-10-21 17:15:47.674] [info] [54] yolo: 46.7ms, tracker: 0.1ms, aimer: 0.2ms
[2025-10-21 17:15:47.763] [info] [55] yolo: 45.7ms, tracker: 0.1ms, aimer: 0.2ms
[2025-10-21 17:15:47.849] [info] [56] yolo: 41.3ms, tracker: 0.0ms, aimer: 0.1ms
[2025-10-21 17:15:47.938] [info] [57] yolo: 45.8ms, tracker: 0.0ms, aimer: 0.1ms
[2025-10-21 17:15:48.043] [info] [58] yolo: 61.5ms, tracker: 0.0ms, aimer: 0.1ms
[2025-10-21 17:15:48.150] [info] [59] yolo: 65.3ms, tracker: 0.0ms, aimer: 0.1ms
[2025-10-21 17:15:48.243] [info] [60] yolo: 50.6ms, tracker: 1.0ms, aimer: 0.1ms
[2025-10-21 17:15:48.336] [info] [61] yolo: 51.4ms, tracker: 1.0ms, aimer: 0.1ms
[2025-10-21 17:15:48.423] [info] [62] yolo: 45.4ms, tracker: 1.0ms, aimer: 0.1ms
[2025-10-21 17:15:48.515] [info] [63] yolo: 47.7ms, tracker: 1.0ms, aimer: 0.1ms
[2025-10-21 17:15:48.605] [info] [64] yolo: 47.3ms, tracker: 1.0ms, aimer: 0.1ms
[2025-10-21 17:15:48.716] [info] [65] yolo: 66.6ms, tracker: 0.0ms, aimer: 0.4ms
[2025-10-21 17:15:48.801] [info] [66] yolo: 43.2ms, tracker: 0.0ms, aimer: 0.1ms
[2025-10-21 17:15:48.890] [info] [67] yolo: 44.1ms, tracker: 1.0ms, aimer: 0.1ms
[2025-10-21 17:15:48.974] [info] [68] yolo: 42.1ms, tracker: 1.4ms, aimer: 0.1ms
[2025-10-21 17:15:49.071] [info] [69] yolo: 50.1ms, tracker: 0.0ms, aimer: 0.1ms
[2025-10-21 17:15:49.160] [info] [70] yolo: 44.4ms, tracker: 0.0ms, aimer: 0.1ms
[2025-10-21 17:15:49.259] [info] [71] yolo: 53.9ms, tracker: 1.3ms, aimer: 0.1ms
[2025-10-21 17:15:49.350] [info] [72] yolo: 46.2ms, tracker: 0.0ms, aimer: 0.1ms
[2025-10-21 17:15:49.445] [info] [73] yolo: 51.3ms, tracker: 1.6ms, aimer: 0.1ms
[2025-10-21 17:15:49.532] [info] [74] yolo: 43.0ms, tracker: 1.0ms, aimer: 0.1ms
[2025-10-21 17:15:49.623] [info] [75] yolo: 45.9ms, tracker: 1.0ms, aimer: 0.1ms
[2025-10-21 17:15:49.707] [info] [76] yolo: 39.8ms, tracker: 1.3ms, aimer: 0.0ms
[2025-10-21 17:15:49.802] [info] [77] yolo: 52.2ms, tracker: 1.0ms, aimer: 0.1ms
[2025-10-21 17:15:49.910] [info] [78] yolo: 61.9ms, tracker: 1.8ms, aimer: 0.1ms
[2025-10-21 17:15:50.004] [info] [79] yolo: 47.7ms, tracker: 1.1ms, aimer: 0.1ms
[2025-10-21 17:15:50.100] [info] [80] yolo: 52.1ms, tracker: 1.2ms, aimer: 0.1ms
[2025-10-21 17:15:50.195] [info] [81] yolo: 50.1ms, tracker: 0.0ms, aimer: 0.1ms
[2025-10-21 17:15:50.287] [info] [82] yolo: 50.5ms, tracker: 0.0ms, aimer: 0.1ms
[2025-10-21 17:15:50.369] [info] [83] yolo: 38.9ms, tracker: 0.1ms, aimer: 0.1ms
[2025-10-21 17:15:50.474] [info] [84] yolo: 60.8ms, tracker: 0.0ms, aimer: 0.1ms
[2025-10-21 17:15:50.551] [info] [85] yolo: 35.3ms, tracker: 0.0ms, aimer: 0.2ms
[2025-10-21 17:15:50.660] [info] [86] yolo: 55.5ms, tracker: 0.0ms, aimer: 0.1ms
[2025-10-21 17:15:50.738] [info] [87] yolo: 34.2ms, tracker: 0.0ms, aimer: 0.1ms
[2025-10-21 17:15:50.840] [info] [88] yolo: 59.0ms, tracker: 0.0ms, aimer: 0.1ms
[2025-10-21 17:15:50.954] [info] [89] yolo: 70.3ms, tracker: 0.0ms, aimer: 0.1ms
[2025-10-21 17:15:51.042] [info] [90] yolo: 45.7ms, tracker: 0.0ms, aimer: 0.1ms
[2025-10-21 17:15:51.144] [info] [91] yolo: 58.3ms, tracker: 0.0ms, aimer: 0.1ms
[2025-10-21 17:15:51.250] [info] [92] yolo: 61.0ms, tracker: 0.0ms, aimer: 0.1ms
[2025-10-21 17:15:51.382] [info] [93] yolo: 88.4ms, tracker: 0.1ms, aimer: 0.1ms
[2025-10-21 17:15:51.467] [debug] [Target] r=0.158, l=-0.117
[2025-10-21 17:15:51.467] [debug] [Tracker] Target diverged!
[2025-10-21 17:15:51.467] [info] [94] yolo: 42.0ms, tracker: 1.4ms, aimer: 0.0ms
[2025-10-21 17:15:51.545] [info] [95] yolo: 37.7ms, tracker: 0.0ms, aimer: 0.0ms
[2025-10-21 17:15:51.628] [info] [96] yolo: 40.0ms, tracker: 0.9ms, aimer: 0.1ms
[2025-10-21 17:15:51.717] [info] [97] yolo: 49.2ms, tracker: 0.0ms, aimer: 0.0ms
[2025-10-21 17:15:51.809] [info] [98] yolo: 47.7ms, tracker: 2.5ms, aimer: 0.1ms
[2025-10-21 17:15:51.940] [info] [99] yolo: 56.0ms, tracker: 0.0ms, aimer: 0.0ms
[2025-10-21 17:15:52.039] [info] [100] yolo: 53.3ms, tracker: 0.0ms, aimer: 0.0ms
[2025-10-21 17:15:52.127] [info] [101] yolo: 45.1ms, tracker: 0.0ms, aimer: 0.0ms
[2025-10-21 17:15:52.226] [info] [102] yolo: 51.6ms, tracker: 1.1ms, aimer: 0.1ms
[2025-10-21 17:15:52.310] [info] [103] yolo: 40.3ms, tracker: 0.0ms, aimer: 0.0ms
[2025-10-21 17:15:52.401] [info] [104] yolo: 44.3ms, tracker: 0.9ms, aimer: 0.1ms
[2025-10-21 17:15:52.504] [info] [105] yolo: 58.2ms, tracker: 0.0ms, aimer: 0.0ms
[2025-10-21 17:15:52.606] [info] [106] yolo: 53.5ms, tracker: 0.0ms, aimer: 0.0ms
[2025-10-21 17:15:52.703] [info] [107] yolo: 55.0ms, tracker: 0.0ms, aimer: 0.0ms
[2025-10-21 17:15:52.799] [info] [108] yolo: 53.8ms, tracker: 1.1ms, aimer: 0.1ms
[2025-10-21 17:15:52.886] [info] [109] yolo: 43.8ms, tracker: 0.0ms, aimer: 0.0ms
[2025-10-21 17:15:52.975] [info] [110] yolo: 47.5ms, tracker: 0.0ms, aimer: 0.0ms
[2025-10-21 17:15:53.067] [info] [111] yolo: 47.8ms, tracker: 1.5ms, aimer: 0.1ms
[2025-10-21 17:15:53.150] [info] [112] yolo: 42.0ms, tracker: 0.0ms, aimer: 0.0ms
[2025-10-21 17:15:53.240] [info] [113] yolo: 47.5ms, tracker: 0.0ms, aimer: 0.0ms
[2025-10-21 17:15:53.333] [info] [114] yolo: 49.9ms, tracker: 1.3ms, aimer: 0.1ms
[2025-10-21 17:15:53.427] [info] [115] yolo: 52.6ms, tracker: 0.0ms, aimer: 0.0ms
[2025-10-21 17:15:53.511] [info] [116] yolo: 41.8ms, tracker: 0.9ms, aimer: 0.1ms
[2025-10-21 17:15:53.610] [info] [117] yolo: 54.9ms, tracker: 1.0ms, aimer: 0.1ms
[2025-10-21 17:15:53.713] [info] [118] yolo: 57.2ms, tracker: 1.0ms, aimer: 0.1ms
[2025-10-21 17:15:53.827] [info] [119] yolo: 68.3ms, tracker: 1.6ms, aimer: 0.1ms
[2025-10-21 17:15:53.940] [info] [120] yolo: 69.6ms, tracker: 1.4ms, aimer: 0.1ms
[2025-10-21 17:15:54.044] [info] [121] yolo: 62.4ms, tracker: 0.0ms, aimer: 0.1ms
[2025-10-21 17:15:54.139] [info] [122] yolo: 49.7ms, tracker: 0.0ms, aimer: 0.1ms
[2025-10-21 17:15:54.324] [info] [123] yolo: 140.4ms, tracker: 0.0ms, aimer: 0.2ms
[2025-10-21 17:15:54.421] [info] [124] yolo: 54.3ms, tracker: 0.0ms, aimer: 0.1ms
[2025-10-21 17:15:54.531] [info] [125] yolo: 64.8ms, tracker: 1.0ms, aimer: 0.1ms
[2025-10-21 17:15:54.622] [info] [126] yolo: 48.5ms, tracker: 0.0ms, aimer: 0.1ms
[2025-10-21 17:15:54.721] [info] [127] yolo: 55.0ms, tracker: 0.0ms, aimer: 0.1ms
[2025-10-21 17:15:54.812] [info] [128] yolo: 47.6ms, tracker: 0.0ms, aimer: 0.1ms
[2025-10-21 17:15:54.896] [info] [129] yolo: 42.9ms, tracker: 0.0ms, aimer: 0.1ms
[2025-10-21 17:15:54.986] [info] [130] yolo: 47.3ms, tracker: 0.0ms, aimer: 0.1ms
[2025-10-21 17:15:55.083] [info] [131] yolo: 55.9ms, tracker: 0.0ms, aimer: 0.1ms
[2025-10-21 17:15:55.171] [info] [132] yolo: 42.5ms, tracker: 1.0ms, aimer: 0.1ms
[2025-10-21 17:15:55.272] [info] [133] yolo: 53.6ms, tracker: 1.5ms, aimer: 0.2ms
