[2025-10-27 19:26:44.771] [info] [0] yolo: 88.7ms, tracker: 0.0ms, aimer: 0.0ms
[2025-10-27 19:26:44.870] [info] [1] yolo: 38.8ms, tracker: 1.5ms, aimer: 0.1ms
[2025-10-27 19:26:44.927] [info] [2] yolo: 47.2ms, tracker: 0.0ms, aimer: 0.0ms
[2025-10-27 19:26:45.007] [info] [3] yolo: 38.4ms, tracker: 1.1ms, aimer: 0.1ms
[2025-10-27 19:26:45.105] [info] [4] yolo: 56.0ms, tracker: 1.0ms, aimer: 0.1ms
[2025-10-27 19:26:45.192] [info] [5] yolo: 44.1ms, tracker: 1.0ms, aimer: 0.1ms
[2025-10-27 19:26:45.280] [info] [6] yolo: 45.2ms, tracker: 1.0ms, aimer: 0.1ms
[2025-10-27 19:26:45.406] [info] [7] yolo: 81.9ms, tracker: 1.7ms, aimer: 0.1ms
[2025-10-27 19:26:45.511] [info] [8] yolo: 60.0ms, tracker: 2.1ms, aimer: 0.1ms
[2025-10-27 19:26:45.633] [info] [9] yolo: 79.3ms, tracker: 1.0ms, aimer: 0.1ms
[2025-10-27 19:26:45.750] [info] [10] yolo: 73.3ms, tracker: 1.3ms, aimer: 0.1ms
[2025-10-27 19:26:45.857] [info] [11] yolo: 58.5ms, tracker: 1.5ms, aimer: 0.2ms
[2025-10-27 19:26:45.976] [info] [12] yolo: 76.3ms, tracker: 1.2ms, aimer: 0.1ms
[2025-10-27 19:26:46.082] [info] [13] yolo: 61.5ms, tracker: 1.1ms, aimer: 0.1ms
[2025-10-27 19:26:46.178] [info] [14] yolo: 40.9ms, tracker: 1.0ms, aimer: 0.1ms
[2025-10-27 19:26:46.282] [info] [15] yolo: 60.9ms, tracker: 1.8ms, aimer: 0.2ms
[2025-10-27 19:26:46.379] [info] [16] yolo: 53.8ms, tracker: 1.0ms, aimer: 0.1ms
[2025-10-27 19:26:46.474] [info] [17] yolo: 49.4ms, tracker: 1.9ms, aimer: 0.1ms
[2025-10-27 19:26:46.560] [info] [18] yolo: 38.2ms, tracker: 1.3ms, aimer: 0.1ms
[2025-10-27 19:26:46.652] [info] [19] yolo: 48.6ms, tracker: 1.3ms, aimer: 0.1ms
[2025-10-27 19:26:46.737] [info] [20] yolo: 42.2ms, tracker: 1.1ms, aimer: 0.1ms
[2025-10-27 19:26:46.817] [info] [21] yolo: 35.2ms, tracker: 1.6ms, aimer: 0.1ms
[2025-10-27 19:26:46.922] [info] [22] yolo: 62.0ms, tracker: 1.0ms, aimer: 0.1ms
[2025-10-27 19:26:47.021] [info] [23] yolo: 54.7ms, tracker: 1.2ms, aimer: 0.1ms
[2025-10-27 19:26:47.119] [info] [24] yolo: 52.4ms, tracker: 1.4ms, aimer: 0.1ms
[2025-10-27 19:26:47.207] [info] [25] yolo: 43.4ms, tracker: 1.2ms, aimer: 0.1ms
[2025-10-27 19:26:47.280] [info] [26] yolo: 30.5ms, tracker: 1.0ms, aimer: 0.1ms
[2025-10-27 19:26:47.362] [info] [27] yolo: 38.8ms, tracker: 1.0ms, aimer: 0.1ms
[2025-10-27 19:26:47.457] [info] [28] yolo: 50.8ms, tracker: 1.2ms, aimer: 0.1ms
[2025-10-27 19:26:47.541] [info] [29] yolo: 40.6ms, tracker: 1.0ms, aimer: 0.1ms
[2025-10-27 19:26:47.638] [debug] [Target] r=0.039, l=0.000
[2025-10-27 19:26:47.638] [debug] [Tracker] Target diverged!
[2025-10-27 19:26:47.638] [info] [30] yolo: 51.8ms, tracker: 3.2ms, aimer: 0.0ms
[2025-10-27 19:26:47.735] [info] [31] yolo: 51.0ms, tracker: 1.0ms, aimer: 0.1ms
[2025-10-27 19:26:47.820] [info] [32] yolo: 39.9ms, tracker: 1.4ms, aimer: 0.1ms
[2025-10-27 19:26:47.910] [info] [33] yolo: 45.5ms, tracker: 1.1ms, aimer: 0.1ms
[2025-10-27 19:26:47.995] [info] [34] yolo: 41.1ms, tracker: 1.0ms, aimer: 0.1ms
[2025-10-27 19:26:48.076] [info] [35] yolo: 38.9ms, tracker: 1.1ms, aimer: 0.1ms
[2025-10-27 19:26:48.154] [info] [36] yolo: 35.2ms, tracker: 1.3ms, aimer: 0.1ms
[2025-10-27 19:26:48.249] [info] [37] yolo: 51.4ms, tracker: 1.6ms, aimer: 0.1ms
[2025-10-27 19:26:48.335] [info] [38] yolo: 42.5ms, tracker: 1.0ms, aimer: 0.1ms
[2025-10-27 19:26:48.418] [info] [39] yolo: 40.0ms, tracker: 1.0ms, aimer: 0.1ms
[2025-10-27 19:26:48.513] [info] [40] yolo: 52.5ms, tracker: 1.0ms, aimer: 0.1ms
[2025-10-27 19:26:48.610] [info] [41] yolo: 52.8ms, tracker: 1.0ms, aimer: 0.1ms
[2025-10-27 19:26:48.710] [info] [42] yolo: 57.6ms, tracker: 1.0ms, aimer: 0.1ms
[2025-10-27 19:26:48.799] [info] [43] yolo: 44.7ms, tracker: 1.0ms, aimer: 0.1ms
[2025-10-27 19:26:48.888] [info] [44] yolo: 46.1ms, tracker: 1.5ms, aimer: 0.1ms
[2025-10-27 19:26:48.977] [info] [45] yolo: 45.2ms, tracker: 0.0ms, aimer: 0.1ms
[2025-10-27 19:26:49.060] [info] [46] yolo: 38.8ms, tracker: 1.0ms, aimer: 0.1ms
[2025-10-27 19:26:49.155] [info] [47] yolo: 53.0ms, tracker: 1.6ms, aimer: 0.1ms
[2025-10-27 19:26:49.235] [info] [48] yolo: 38.3ms, tracker: 1.0ms, aimer: 0.1ms
