[2025-12-18 11:13:15.744] [info] [0] yolo: 21.4ms, tracker: 0.0ms, aimer: 0.0ms
[2025-12-18 11:13:15.792] [info] [1] yolo: 10.6ms, tracker: 2.3ms, aimer: 0.1ms
[2025-12-18 11:13:15.806] [info] [2] yolo: 10.5ms, tracker: 0.0ms, aimer: 0.0ms
[2025-12-18 11:13:15.852] [info] [3] yolo: 10.1ms, tracker: 0.4ms, aimer: 0.0ms
[2025-12-18 11:13:15.895] [info] [4] yolo: 8.0ms, tracker: 0.4ms, aimer: 0.0ms
[2025-12-18 11:13:15.939] [info] [5] yolo: 8.1ms, tracker: 0.4ms, aimer: 0.0ms
[2025-12-18 11:13:15.983] [info] [6] yolo: 7.8ms, tracker: 0.4ms, aimer: 0.0ms
[2025-12-18 11:13:16.026] [info] [7] yolo: 8.5ms, tracker: 0.4ms, aimer: 0.0ms
[2025-12-18 11:13:16.070] [info] [8] yolo: 8.9ms, tracker: 0.4ms, aimer: 0.0ms
[2025-12-18 11:13:16.115] [info] [9] yolo: 8.2ms, tracker: 0.4ms, aimer: 0.0ms
[2025-12-18 11:13:16.158] [info] [10] yolo: 8.5ms, tracker: 0.4ms, aimer: 0.0ms
[2025-12-18 11:13:16.202] [info] [11] yolo: 8.1ms, tracker: 0.4ms, aimer: 0.0ms
[2025-12-18 11:13:16.244] [info] [12] yolo: 8.0ms, tracker: 0.4ms, aimer: 0.0ms
[2025-12-18 11:13:16.289] [info] [13] yolo: 9.0ms, tracker: 0.4ms, aimer: 0.0ms
[2025-12-18 11:13:16.333] [info] [14] yolo: 8.1ms, tracker: 0.4ms, aimer: 0.0ms
[2025-12-18 11:13:16.378] [info] [15] yolo: 9.8ms, tracker: 0.4ms, aimer: 0.0ms
[2025-12-18 11:13:16.421] [info] [16] yolo: 8.2ms, tracker: 1.2ms, aimer: 0.0ms
[2025-12-18 11:13:16.466] [info] [17] yolo: 8.8ms, tracker: 0.4ms, aimer: 0.0ms
[2025-12-18 11:13:16.508] [info] [18] yolo: 8.0ms, tracker: 0.4ms, aimer: 0.0ms
[2025-12-18 11:13:16.552] [info] [19] yolo: 7.2ms, tracker: 0.4ms, aimer: 0.0ms
[2025-12-18 11:13:16.595] [info] [20] yolo: 7.4ms, tracker: 0.4ms, aimer: 0.0ms
[2025-12-18 11:13:16.640] [info] [21] yolo: 7.9ms, tracker: 0.4ms, aimer: 0.0ms
[2025-12-18 11:13:16.684] [info] [22] yolo: 8.4ms, tracker: 0.4ms, aimer: 0.0ms
[2025-12-18 11:13:16.728] [info] [23] yolo: 7.8ms, tracker: 1.4ms, aimer: 0.0ms
[2025-12-18 11:13:16.772] [info] [24] yolo: 8.5ms, tracker: 0.4ms, aimer: 0.0ms
[2025-12-18 11:13:16.817] [info] [25] yolo: 8.7ms, tracker: 0.4ms, aimer: 0.0ms
[2025-12-18 11:13:16.861] [info] [26] yolo: 8.4ms, tracker: 0.4ms, aimer: 0.0ms
[2025-12-18 11:13:16.905] [info] [27] yolo: 8.7ms, tracker: 0.4ms, aimer: 0.0ms
[2025-12-18 11:13:16.951] [info] [28] yolo: 8.5ms, tracker: 0.4ms, aimer: 0.0ms
[2025-12-18 11:13:16.996] [info] [29] yolo: 8.8ms, tracker: 0.4ms, aimer: 0.0ms
[2025-12-18 11:13:17.040] [debug] [Target] r=0.044, l=0.000
[2025-12-18 11:13:17.040] [debug] [Tracker] Target diverged!
[2025-12-18 11:13:17.040] [info] [30] yolo: 8.6ms, tracker: 0.4ms, aimer: 0.0ms
[2025-12-18 11:13:17.084] [info] [31] yolo: 8.1ms, tracker: 0.3ms, aimer: 0.0ms
[2025-12-18 11:13:17.128] [info] [32] yolo: 7.8ms, tracker: 0.4ms, aimer: 0.0ms
[2025-12-18 11:13:17.173] [info] [33] yolo: 8.3ms, tracker: 0.4ms, aimer: 0.0ms
[2025-12-18 11:13:17.216] [info] [34] yolo: 8.2ms, tracker: 0.4ms, aimer: 0.0ms
[2025-12-18 11:13:17.261] [info] [35] yolo: 8.1ms, tracker: 0.4ms, aimer: 0.0ms
[2025-12-18 11:13:17.305] [info] [36] yolo: 8.5ms, tracker: 0.4ms, aimer: 0.0ms
[2025-12-18 11:13:17.349] [info] [37] yolo: 7.9ms, tracker: 0.4ms, aimer: 0.0ms
[2025-12-18 11:13:17.392] [info] [38] yolo: 8.2ms, tracker: 0.4ms, aimer: 0.0ms
[2025-12-18 11:13:17.435] [info] [39] yolo: 8.3ms, tracker: 0.4ms, aimer: 0.0ms
[2025-12-18 11:13:17.479] [info] [40] yolo: 8.2ms, tracker: 0.4ms, aimer: 0.0ms
[2025-12-18 11:13:17.522] [info] [41] yolo: 8.4ms, tracker: 0.4ms, aimer: 0.0ms
[2025-12-18 11:13:17.566] [info] [42] yolo: 7.8ms, tracker: 0.0ms, aimer: 0.0ms
[2025-12-18 11:13:17.609] [info] [43] yolo: 8.3ms, tracker: 0.4ms, aimer: 0.0ms
[2025-12-18 11:13:17.652] [info] [44] yolo: 7.8ms, tracker: 0.4ms, aimer: 0.0ms
[2025-12-18 11:13:17.696] [info] [45] yolo: 8.0ms, tracker: 0.4ms, aimer: 0.0ms
