[2025-11-07 18:48:00.199] [info] [0] yolo: 52.7ms, tracker: 0.0ms, aimer: 0.0ms
[2025-11-07 18:48:00.251] [info] [1] yolo: 11.3ms, tracker: 1.8ms, aimer: 0.1ms
[2025-11-07 18:48:00.266] [info] [2] yolo: 11.3ms, tracker: 0.0ms, aimer: 0.0ms
[2025-11-07 18:48:00.313] [info] [3] yolo: 8.9ms, tracker: 0.3ms, aimer: 0.0ms
[2025-11-07 18:48:00.355] [info] [4] yolo: 7.3ms, tracker: 0.6ms, aimer: 0.0ms
[2025-11-07 18:48:00.402] [info] [5] yolo: 9.7ms, tracker: 0.4ms, aimer: 0.0ms
[2025-11-07 18:48:00.445] [info] [6] yolo: 9.2ms, tracker: 0.4ms, aimer: 0.0ms
[2025-11-07 18:48:00.488] [info] [7] yolo: 7.3ms, tracker: 0.4ms, aimer: 0.0ms
[2025-11-07 18:48:00.535] [info] [8] yolo: 10.3ms, tracker: 0.4ms, aimer: 0.0ms
[2025-11-07 18:48:00.581] [info] [9] yolo: 9.3ms, tracker: 0.4ms, aimer: 0.0ms
[2025-11-07 18:48:00.626] [info] [10] yolo: 8.2ms, tracker: 0.3ms, aimer: 0.0ms
[2025-11-07 18:48:00.673] [info] [11] yolo: 10.4ms, tracker: 0.4ms, aimer: 0.0ms
[2025-11-07 18:48:00.715] [info] [12] yolo: 7.2ms, tracker: 0.3ms, aimer: 0.0ms
[2025-11-07 18:48:00.760] [info] [13] yolo: 9.4ms, tracker: 0.4ms, aimer: 0.0ms
[2025-11-07 18:48:00.805] [info] [14] yolo: 9.5ms, tracker: 0.4ms, aimer: 0.0ms
[2025-11-07 18:48:00.846] [info] [15] yolo: 7.1ms, tracker: 0.4ms, aimer: 0.0ms
[2025-11-07 18:48:00.889] [info] [16] yolo: 7.9ms, tracker: 0.4ms, aimer: 0.0ms
[2025-11-07 18:48:00.933] [info] [17] yolo: 8.7ms, tracker: 0.4ms, aimer: 0.0ms
[2025-11-07 18:48:00.976] [info] [18] yolo: 8.5ms, tracker: 0.4ms, aimer: 0.0ms
[2025-11-07 18:48:01.020] [info] [19] yolo: 8.0ms, tracker: 0.5ms, aimer: 0.0ms
[2025-11-07 18:48:01.063] [info] [20] yolo: 9.0ms, tracker: 0.3ms, aimer: 0.0ms
[2025-11-07 18:48:01.107] [info] [21] yolo: 8.4ms, tracker: 0.4ms, aimer: 0.0ms
[2025-11-07 18:48:01.152] [info] [22] yolo: 7.6ms, tracker: 0.3ms, aimer: 0.0ms
[2025-11-07 18:48:01.196] [info] [23] yolo: 8.8ms, tracker: 0.3ms, aimer: 0.0ms
[2025-11-07 18:48:01.240] [info] [24] yolo: 8.8ms, tracker: 0.3ms, aimer: 0.0ms
[2025-11-07 18:48:01.284] [info] [25] yolo: 8.3ms, tracker: 0.3ms, aimer: 0.0ms
[2025-11-07 18:48:01.328] [info] [26] yolo: 8.1ms, tracker: 0.9ms, aimer: 0.1ms
[2025-11-07 18:48:01.375] [info] [27] yolo: 10.0ms, tracker: 0.3ms, aimer: 0.0ms
[2025-11-07 18:48:01.419] [info] [28] yolo: 7.8ms, tracker: 0.3ms, aimer: 0.0ms
[2025-11-07 18:48:01.462] [info] [29] yolo: 7.8ms, tracker: 0.4ms, aimer: 0.0ms
[2025-11-07 18:48:01.506] [debug] [Target] r=0.044, l=0.000
[2025-11-07 18:48:01.507] [debug] [Tracker] Target diverged!
[2025-11-07 18:48:01.507] [info] [30] yolo: 9.5ms, tracker: 0.4ms, aimer: 0.0ms
[2025-11-07 18:48:01.548] [info] [31] yolo: 6.9ms, tracker: 0.3ms, aimer: 0.0ms
[2025-11-07 18:48:01.591] [info] [32] yolo: 7.3ms, tracker: 0.9ms, aimer: 0.1ms
[2025-11-07 18:48:01.635] [info] [33] yolo: 8.7ms, tracker: 0.3ms, aimer: 0.0ms
[2025-11-07 18:48:01.677] [info] [34] yolo: 7.6ms, tracker: 0.3ms, aimer: 0.0ms
[2025-11-07 18:48:01.720] [info] [35] yolo: 7.9ms, tracker: 0.4ms, aimer: 0.0ms
[2025-11-07 18:48:01.764] [info] [36] yolo: 8.0ms, tracker: 1.4ms, aimer: 0.1ms
[2025-11-07 18:48:01.812] [info] [37] yolo: 9.6ms, tracker: 0.3ms, aimer: 0.0ms
[2025-11-07 18:48:01.853] [info] [38] yolo: 6.6ms, tracker: 0.4ms, aimer: 0.0ms
[2025-11-07 18:48:01.896] [info] [39] yolo: 7.5ms, tracker: 0.4ms, aimer: 0.0ms
[2025-11-07 18:48:01.943] [info] [40] yolo: 10.0ms, tracker: 0.6ms, aimer: 0.0ms
[2025-11-07 18:48:01.988] [info] [41] yolo: 7.9ms, tracker: 0.4ms, aimer: 0.0ms
[2025-11-07 18:48:02.032] [info] [42] yolo: 8.4ms, tracker: 0.0ms, aimer: 0.0ms
