[2026-01-09 11:09:23.457] [info] HikRobot's daemon thread started.
[2026-01-09 11:09:23.710] [info] HikRobot's capture thread started.
[2026-01-09 11:09:25.594] [info] HikRobot's daemon thread started.
[2026-01-09 11:09:25.852] [info] HikRobot's capture thread started.
[2026-01-09 11:09:27.737] [info] Gimbal Q -> w:0.584, x:0.020, y:0.009, z:-0.812
[2026-01-09 11:09:27.762] [info] Gimbal Q -> w:0.584, x:0.020, y:0.009, z:-0.812
[2026-01-09 11:09:27.778] [info] Gimbal Q -> w:0.584, x:0.020, y:0.009, z:-0.812
[2026-01-09 11:09:27.788] [info] Gimbal Q -> w:0.584, x:0.020, y:0.009, z:-0.812
[2026-01-09 11:09:27.803] [info] Gimbal Q -> w:0.584, x:0.020, y:0.009, z:-0.812
[2026-01-09 11:09:27.813] [info] Gimbal Q -> w:0.584, x:0.020, y:0.009, z:-0.812
[2026-01-09 11:09:27.828] [info] Gimbal Q -> w:0.584, x:0.020, y:0.009, z:-0.812
[2026-01-09 11:09:27.838] [info] Gimbal Q -> w:0.584, x:0.020, y:0.009, z:-0.812
[2026-01-09 11:09:27.853] [info] Gimbal Q -> w:0.584, x:0.020, y:0.009, z:-0.812
[2026-01-09 11:09:27.863] [info] Gimbal Q -> w:0.584, x:0.020, y:0.009, z:-0.812
[2026-01-09 11:09:27.878] [info] Gimbal Q -> w:0.584, x:0.020, y:0.009, z:-0.812
[2026-01-09 11:09:27.888] [info] Gimbal Q -> w:0.584, x:0.020, y:0.009, z:-0.812
[2026-01-09 11:09:27.903] [info] Gimbal Q -> w:0.584, x:0.020, y:0.009, z:-0.812
[2026-01-09 11:09:27.913] [info] Gimbal Q -> w:0.584, x:0.020, y:0.009, z:-0.812
[2026-01-09 11:09:27.929] [info] Gimbal Q -> w:0.584, x:0.020, y:0.009, z:-0.812
[2026-01-09 11:09:27.938] [info] Gimbal Q -> w:0.584, x:0.020, y:0.009, z:-0.812
[2026-01-09 11:09:27.953] [info] Gimbal Q -> w:0.584, x:0.020, y:0.009, z:-0.812
[2026-01-09 11:09:27.963] [info] Gimbal Q -> w:0.584, x:0.020, y:0.009, z:-0.812
[2026-01-09 11:09:27.978] [info] Gimbal Q -> w:0.584, x:0.020, y:0.009, z:-0.812
[2026-01-09 11:09:27.988] [info] Gimbal Q -> w:0.584, x:0.020, y:0.009, z:-0.812
[2026-01-09 11:09:28.003] [info] Gimbal Q -> w:0.584, x:0.020, y:0.009, z:-0.812
[2026-01-09 11:09:28.013] [info] Gimbal Q -> w:0.584, x:0.020, y:0.009, z:-0.812
[2026-01-09 11:09:28.028] [info] Gimbal Q -> w:0.584, x:0.020, y:0.009, z:-0.812
[2026-01-09 11:09:28.038] [info] Gimbal Q -> w:0.584, x:0.020, y:0.009, z:-0.812
[2026-01-09 11:09:28.053] [info] Gimbal Q -> w:0.584, x:0.020, y:0.009, z:-0.812
[2026-01-09 11:09:28.063] [info] Gimbal Q -> w:0.584, x:0.020, y:0.009, z:-0.812
[2026-01-09 11:09:28.078] [info] Gimbal Q -> w:0.584, x:0.020, y:0.009, z:-0.812
[2026-01-09 11:09:28.088] [info] Gimbal Q -> w:0.584, x:0.020, y:0.009, z:-0.812
[2026-01-09 11:09:28.103] [info] Gimbal Q -> w:0.584, x:0.020, y:0.009, z:-0.812
[2026-01-09 11:09:28.113] [info] Gimbal Q -> w:0.584, x:0.020, y:0.009, z:-0.812
[2026-01-09 11:09:28.128] [info] Gimbal Q -> w:0.584, x:0.020, y:0.009, z:-0.812
[2026-01-09 11:09:28.138] [info] Gimbal Q -> w:0.584, x:0.020, y:0.009, z:-0.812
[2026-01-09 11:09:28.153] [info] Gimbal Q -> w:0.584, x:0.020, y:0.009, z:-0.812
[2026-01-09 11:09:28.163] [info] Gimbal Q -> w:0.584, x:0.020, y:0.009, z:-0.812
[2026-01-09 11:09:28.178] [info] Gimbal Q -> w:0.584, x:0.020, y:0.009, z:-0.812
[2026-01-09 11:09:28.188] [info] Gimbal Q -> w:0.584, x:0.020, y:0.009, z:-0.812
[2026-01-09 11:09:28.203] [info] Gimbal Q -> w:0.584, x:0.020, y:0.009, z:-0.812
[2026-01-09 11:09:28.213] [info] Gimbal Q -> w:0.584, x:0.020, y:0.009, z:-0.812
[2026-01-09 11:09:28.228] [info] Gimbal Q -> w:0.584, x:0.020, y:0.009, z:-0.812
[2026-01-09 11:09:28.238] [info] Gimbal Q -> w:0.584, x:0.020, y:0.009, z:-0.812
[2026-01-09 11:09:28.253] [info] Gimbal Q -> w:0.584, x:0.020, y:0.009, z:-0.812
[2026-01-09 11:09:28.263] [info] Gimbal Q -> w:0.584, x:0.020, y:0.009, z:-0.812
[2026-01-09 11:09:28.278] [info] Gimbal Q -> w:0.584, x:0.020, y:0.009, z:-0.812
[2026-01-09 11:09:28.288] [info] Gimbal Q -> w:0.584, x:0.020, y:0.009, z:-0.812
[2026-01-09 11:09:28.303] [info] Gimbal Q -> w:0.584, x:0.020, y:0.009, z:-0.812
[2026-01-09 11:09:28.313] [info] Gimbal Q -> w:0.584, x:0.020, y:0.009, z:-0.812
[2026-01-09 11:09:28.328] [info] Gimbal Q -> w:0.584, x:0.020, y:0.009, z:-0.812
[2026-01-09 11:09:28.338] [info] Gimbal Q -> w:0.584, x:0.020, y:0.009, z:-0.812
[2026-01-09 11:09:28.353] [info] Gimbal Q -> w:0.584, x:0.020, y:0.009, z:-0.812
