[2025-12-21 14:21:35.940] [info] [Gimbal] read_thread started.
[2025-12-21 14:21:35.940] [info] [Gimbal] First q received.
[2025-12-21 14:21:36.107] [info] HikRobot's daemon thread started.
[2025-12-21 14:21:36.242] [info] 初始化相机: FRONT
[2025-12-21 14:21:36.424] [info] HikRobot's capture thread started.
[2025-12-21 14:21:38.243] [info] HikRobot's daemon thread started.
[2025-12-21 14:21:38.385] [info] 初始化相机: BACK
[2025-12-21 14:21:38.536] [info] HikRobot's capture thread started.
[2025-12-21 14:21:40.424] [debug] Final command sent - control:false, shoot:false, yaw:0.000°, pitch:0.000°
[2025-12-21 14:21:40.424] [debug] [Gimbal] Sending command - control:false, fire:false, yaw:0.000, pitch:0.000
[2025-12-21 14:21:40.451] [debug] Final command sent - control:false, shoot:false, yaw:0.000°, pitch:0.000°
[2025-12-21 14:21:40.451] [debug] [Gimbal] Sending command - control:false, fire:false, yaw:0.000, pitch:0.000
[2025-12-21 14:21:40.480] [debug] Final command sent - control:false, shoot:false, yaw:0.000°, pitch:0.000°
[2025-12-21 14:21:40.480] [debug] [Gimbal] Sending command - control:false, fire:false, yaw:0.000, pitch:0.000
[2025-12-21 14:21:40.508] [debug] Final command sent - control:false, shoot:false, yaw:0.000°, pitch:0.000°
[2025-12-21 14:21:40.508] [debug] [Gimbal] Sending command - control:false, fire:false, yaw:0.000, pitch:0.000
[2025-12-21 14:21:40.531] [debug] Final command sent - control:false, shoot:false, yaw:0.000°, pitch:0.000°
[2025-12-21 14:21:40.531] [debug] [Gimbal] Sending command - control:false, fire:false, yaw:0.000, pitch:0.000
[2025-12-21 14:21:40.556] [debug] Final command sent - control:false, shoot:false, yaw:0.000°, pitch:0.000°
[2025-12-21 14:21:40.556] [debug] [Gimbal] Sending command - control:false, fire:false, yaw:0.000, pitch:0.000
[2025-12-21 14:21:40.582] [debug] Final command sent - control:false, shoot:false, yaw:0.000°, pitch:0.000°
[2025-12-21 14:21:40.582] [debug] [Gimbal] Sending command - control:false, fire:false, yaw:0.000, pitch:0.000
[2025-12-21 14:21:40.606] [debug] Final command sent - control:false, shoot:false, yaw:0.000°, pitch:0.000°
[2025-12-21 14:21:40.606] [debug] [Gimbal] Sending command - control:false, fire:false, yaw:0.000, pitch:0.000
[2025-12-21 14:21:40.632] [debug] Final command sent - control:false, shoot:false, yaw:0.000°, pitch:0.000°
[2025-12-21 14:21:40.632] [debug] [Gimbal] Sending command - control:false, fire:false, yaw:0.000, pitch:0.000
[2025-12-21 14:21:40.656] [debug] Final command sent - control:false, shoot:false, yaw:0.000°, pitch:0.000°
[2025-12-21 14:21:40.656] [debug] [Gimbal] Sending command - control:false, fire:false, yaw:0.000, pitch:0.000
[2025-12-21 14:21:40.683] [debug] Final command sent - control:false, shoot:false, yaw:0.000°, pitch:0.000°
[2025-12-21 14:21:40.683] [debug] [Gimbal] Sending command - control:false, fire:false, yaw:0.000, pitch:0.000
[2025-12-21 14:21:40.707] [debug] Final command sent - control:false, shoot:false, yaw:0.000°, pitch:0.000°
[2025-12-21 14:21:40.707] [debug] [Gimbal] Sending command - control:false, fire:false, yaw:0.000, pitch:0.000
[2025-12-21 14:21:40.734] [debug] Final command sent - control:false, shoot:false, yaw:0.000°, pitch:0.000°
[2025-12-21 14:21:40.734] [debug] [Gimbal] Sending command - control:false, fire:false, yaw:0.000, pitch:0.000
[2025-12-21 14:21:40.758] [debug] Final command sent - control:false, shoot:false, yaw:0.000°, pitch:0.000°
[2025-12-21 14:21:40.758] [debug] [Gimbal] Sending command - control:false, fire:false, yaw:0.000, pitch:0.000
[2025-12-21 14:21:40.779] [debug] Final command sent - control:false, shoot:false, yaw:0.000°, pitch:0.000°
[2025-12-21 14:21:40.779] [debug] [Gimbal] Sending command - control:false, fire:false, yaw:0.000, pitch:0.000
[2025-12-21 14:21:40.801] [debug] Final command sent - control:false, shoot:false, yaw:0.000°, pitch:0.000°
[2025-12-21 14:21:40.801] [debug] [Gimbal] Sending command - control:false, fire:false, yaw:0.000, pitch:0.000
[2025-12-21 14:21:40.825] [debug] Final command sent - control:false, shoot:false, yaw:0.000°, pitch:0.000°
[2025-12-21 14:21:40.825] [debug] [Gimbal] Sending command - control:false, fire:false, yaw:0.000, pitch:0.000
[2025-12-21 14:21:40.849] [debug] Final command sent - control:false, shoot:false, yaw:0.000°, pitch:0.000°
[2025-12-21 14:21:40.849] [debug] [Gimbal] Sending command - control:false, fire:false, yaw:0.000, pitch:0.000
[2025-12-21 14:21:40.875] [debug] Final command sent - control:false, shoot:false, yaw:0.000°, pitch:0.000°
[2025-12-21 14:21:40.875] [debug] [Gimbal] Sending command - control:false, fire:false, yaw:0.000, pitch:0.000
[2025-12-21 14:21:40.895] [debug] Final command sent - control:false, shoot:false, yaw:0.000°, pitch:0.000°
[2025-12-21 14:21:40.895] [debug] [Gimbal] Sending command - control:false, fire:false, yaw:0.000, pitch:0.000
[2025-12-21 14:21:40.921] [debug] Final command sent - control:false, shoot:false, yaw:0.000°, pitch:0.000°
[2025-12-21 14:21:40.921] [debug] [Gimbal] Sending command - control:false, fire:false, yaw:0.000, pitch:0.000
[2025-12-21 14:21:40.946] [debug] Final command sent - control:false, shoot:false, yaw:0.000°, pitch:0.000°
[2025-12-21 14:21:40.946] [debug] [Gimbal] Sending command - control:false, fire:false, yaw:0.000, pitch:0.000
[2025-12-21 14:21:40.971] [debug] Final command sent - control:false, shoot:false, yaw:0.000°, pitch:0.000°
[2025-12-21 14:21:40.971] [debug] [Gimbal] Sending command - control:false, fire:false, yaw:0.000, pitch:0.000
[2025-12-21 14:21:40.993] [debug] Final command sent - control:false, shoot:false, yaw:0.000°, pitch:0.000°
[2025-12-21 14:21:40.993] [debug] [Gimbal] Sending command - control:false, fire:false, yaw:0.000, pitch:0.000
[2025-12-21 14:21:41.019] [debug] Final command sent - control:false, shoot:false, yaw:0.000°, pitch:0.000°
