[2025-10-21 17:07:27.025] [info] [0] yolo: 85.6ms, tracker: 0.0ms, aimer: 0.0ms
[2025-10-21 17:07:27.121] [info] [1] yolo: 52.7ms, tracker: 1.2ms, aimer: 0.1ms
[2025-10-21 17:07:27.175] [info] [2] yolo: 40.8ms, tracker: 0.0ms, aimer: 0.0ms
[2025-10-21 17:07:27.259] [info] [3] yolo: 41.0ms, tracker: 1.0ms, aimer: 0.1ms
[2025-10-21 17:07:27.366] [info] [4] yolo: 64.2ms, tracker: 1.0ms, aimer: 0.1ms
[2025-10-21 17:07:27.479] [info] [5] yolo: 69.0ms, tracker: 1.2ms, aimer: 0.1ms
[2025-10-21 17:07:27.579] [info] [6] yolo: 54.6ms, tracker: 2.1ms, aimer: 0.1ms
[2025-10-21 17:07:27.683] [info] [7] yolo: 57.4ms, tracker: 1.0ms, aimer: 0.1ms
[2025-10-21 17:07:27.802] [info] [8] yolo: 76.5ms, tracker: 1.2ms, aimer: 0.1ms
[2025-10-21 17:07:27.897] [info] [9] yolo: 51.7ms, tracker: 1.9ms, aimer: 0.1ms
[2025-10-21 17:07:27.986] [info] [10] yolo: 43.6ms, tracker: 1.6ms, aimer: 0.2ms
[2025-10-21 17:07:28.071] [info] [11] yolo: 41.6ms, tracker: 1.1ms, aimer: 0.1ms
[2025-10-21 17:07:28.180] [info] [12] yolo: 64.6ms, tracker: 3.7ms, aimer: 0.1ms
[2025-10-21 17:07:28.275] [info] [13] yolo: 52.0ms, tracker: 1.1ms, aimer: 0.1ms
[2025-10-21 17:07:28.367] [info] [14] yolo: 50.2ms, tracker: 1.0ms, aimer: 0.0ms
[2025-10-21 17:07:28.484] [info] [15] yolo: 73.7ms, tracker: 1.3ms, aimer: 0.1ms
[2025-10-21 17:07:28.588] [info] [16] yolo: 62.0ms, tracker: 1.6ms, aimer: 0.1ms
[2025-10-21 17:07:28.676] [info] [17] yolo: 44.9ms, tracker: 1.0ms, aimer: 0.1ms
[2025-10-21 17:07:28.765] [info] [18] yolo: 46.9ms, tracker: 1.2ms, aimer: 0.1ms
[2025-10-21 17:07:28.868] [info] [19] yolo: 58.6ms, tracker: 1.0ms, aimer: 0.1ms
[2025-10-21 17:07:28.972] [info] [20] yolo: 60.3ms, tracker: 1.0ms, aimer: 0.1ms
[2025-10-21 17:07:29.078] [info] [21] yolo: 61.9ms, tracker: 1.0ms, aimer: 0.1ms
[2025-10-21 17:07:29.179] [info] [22] yolo: 55.1ms, tracker: 1.1ms, aimer: 0.1ms
[2025-10-21 17:07:29.269] [info] [23] yolo: 47.3ms, tracker: 1.7ms, aimer: 0.1ms
[2025-10-21 17:07:29.354] [info] [24] yolo: 41.8ms, tracker: 1.7ms, aimer: 0.1ms
[2025-10-21 17:07:29.463] [info] [25] yolo: 59.7ms, tracker: 1.7ms, aimer: 0.1ms
[2025-10-21 17:07:29.555] [info] [26] yolo: 47.0ms, tracker: 1.5ms, aimer: 0.1ms
[2025-10-21 17:07:29.636] [info] [27] yolo: 38.1ms, tracker: 1.3ms, aimer: 0.1ms
[2025-10-21 17:07:29.726] [info] [28] yolo: 44.5ms, tracker: 1.3ms, aimer: 0.1ms
[2025-10-21 17:07:29.813] [info] [29] yolo: 43.0ms, tracker: 1.1ms, aimer: 0.1ms
[2025-10-21 17:07:29.898] [debug] [Target] r=0.039, l=0.000
[2025-10-21 17:07:29.898] [debug] [Tracker] Target diverged!
[2025-10-21 17:07:29.898] [info] [30] yolo: 41.4ms, tracker: 1.0ms, aimer: 0.0ms
