[2026-01-06 16:34:15.475] [info] [Gimbal] read_thread started.
[2026-01-06 16:34:15.475] [info] [Gimbal] First q received.
[2026-01-06 16:34:15.648] [info] HikRobot's daemon thread started.
[2026-01-06 16:34:16.864] [info] HikRobot's capture thread started.
[2026-01-06 16:34:17.786] [info] HikRobot's daemon thread started.
[2026-01-06 16:34:17.790] [error] 找不到标识符为 00DA5751514 的相机!
[2026-01-06 16:34:17.890] [warning] MV_CC_StopGrabbing failed: 0x80000000
[2026-01-06 16:34:17.896] [error] 找不到标识符为 00DA5751514 的相机!
[2026-01-06 16:34:17.997] [warning] MV_CC_StopGrabbing failed: 0x80000000
[2026-01-06 16:34:18.002] [error] 找不到标识符为 00DA5751514 的相机!
[2026-01-06 16:34:18.103] [warning] MV_CC_StopGrabbing failed: 0x80000000
[2026-01-06 16:34:18.109] [error] 找不到标识符为 00DA5751514 的相机!
[2026-01-06 16:34:18.209] [warning] MV_CC_StopGrabbing failed: 0x80000000
[2026-01-06 16:34:18.211] [error] 找不到标识符为 00DA5751514 的相机!
[2026-01-06 16:34:18.311] [warning] MV_CC_StopGrabbing failed: 0x80000000
[2026-01-06 16:34:18.317] [error] 找不到标识符为 00DA5751514 的相机!
[2026-01-06 16:34:18.417] [warning] MV_CC_StopGrabbing failed: 0x80000000
[2026-01-06 16:34:18.423] [error] 找不到标识符为 00DA5751514 的相机!
[2026-01-06 16:34:18.523] [warning] MV_CC_StopGrabbing failed: 0x80000000
[2026-01-06 16:34:18.529] [error] 找不到标识符为 00DA5751514 的相机!
[2026-01-06 16:34:18.629] [warning] MV_CC_StopGrabbing failed: 0x80000000
[2026-01-06 16:34:18.635] [error] 找不到标识符为 00DA5751514 的相机!
[2026-01-06 16:34:18.735] [warning] MV_CC_StopGrabbing failed: 0x80000000
[2026-01-06 16:34:18.737] [error] 找不到标识符为 00DA5751514 的相机!
[2026-01-06 16:34:18.837] [warning] MV_CC_StopGrabbing failed: 0x80000000
[2026-01-06 16:34:18.843] [error] 找不到标识符为 00DA5751514 的相机!
[2026-01-06 16:34:18.943] [warning] MV_CC_StopGrabbing failed: 0x80000000
[2026-01-06 16:34:18.950] [error] 找不到标识符为 00DA5751514 的相机!
[2026-01-06 16:34:19.051] [warning] MV_CC_StopGrabbing failed: 0x80000000
[2026-01-06 16:34:19.062] [error] 找不到标识符为 00DA5751514 的相机!
[2026-01-06 16:34:19.162] [warning] MV_CC_StopGrabbing failed: 0x80000000
[2026-01-06 16:34:19.163] [error] 找不到标识符为 00DA5751514 的相机!
[2026-01-06 16:34:19.263] [warning] MV_CC_StopGrabbing failed: 0x80000000
[2026-01-06 16:34:19.270] [error] 找不到标识符为 00DA5751514 的相机!
[2026-01-06 16:34:19.370] [warning] MV_CC_StopGrabbing failed: 0x80000000
[2026-01-06 16:34:19.383] [error] 找不到标识符为 00DA5751514 的相机!
[2026-01-06 16:34:19.483] [warning] MV_CC_StopGrabbing failed: 0x80000000
[2026-01-06 16:34:19.490] [error] 找不到标识符为 00DA5751514 的相机!
[2026-01-06 16:34:19.590] [warning] MV_CC_StopGrabbing failed: 0x80000000
[2026-01-06 16:34:19.598] [error] 找不到标识符为 00DA5751514 的相机!
[2026-01-06 16:34:19.698] [warning] MV_CC_StopGrabbing failed: 0x80000000
[2026-01-06 16:34:19.709] [error] 找不到标识符为 00DA5751514 的相机!
[2026-01-06 16:34:19.809] [warning] MV_CC_StopGrabbing failed: 0x80000000
[2026-01-06 16:34:19.811] [error] 找不到标识符为 00DA5751514 的相机!
[2026-01-06 16:34:19.911] [warning] MV_CC_StopGrabbing failed: 0x80000000
[2026-01-06 16:34:19.916] [error] 找不到标识符为 00DA5751514 的相机!
[2026-01-06 16:34:20.016] [warning] MV_CC_StopGrabbing failed: 0x80000000
[2026-01-06 16:34:20.024] [error] 找不到标识符为 00DA5751514 的相机!
[2026-01-06 16:34:20.124] [warning] MV_CC_StopGrabbing failed: 0x80000000
[2026-01-06 16:34:20.131] [error] 找不到标识符为 00DA5751514 的相机!
[2026-01-06 16:34:20.231] [warning] MV_CC_StopGrabbing failed: 0x80000000
[2026-01-06 16:34:20.243] [error] 找不到标识符为 00DA5751514 的相机!
[2026-01-06 16:34:20.343] [warning] MV_CC_StopGrabbing failed: 0x80000000
[2026-01-06 16:34:20.356] [error] 找不到标识符为 00DA5751514 的相机!
[2026-01-06 16:34:20.456] [warning] MV_CC_StopGrabbing failed: 0x80000000
[2026-01-06 16:34:20.463] [error] 找不到标识符为 00DA5751514 的相机!
[2026-01-06 16:34:20.563] [warning] MV_CC_StopGrabbing failed: 0x80000000
[2026-01-06 16:34:20.569] [error] 找不到标识符为 00DA5751514 的相机!
[2026-01-06 16:34:20.669] [warning] MV_CC_StopGrabbing failed: 0x80000000
[2026-01-06 16:34:20.677] [error] 找不到标识符为 00DA5751514 的相机!
[2026-01-06 16:34:20.777] [warning] MV_CC_StopGrabbing failed: 0x80000000
[2026-01-06 16:34:20.784] [error] 找不到标识符为 00DA5751514 的相机!
[2026-01-06 16:34:20.884] [warning] MV_CC_StopGrabbing failed: 0x80000000
[2026-01-06 16:34:20.896] [error] 找不到标识符为 00DA5751514 的相机!
[2026-01-06 16:34:20.996] [warning] MV_CC_StopGrabbing failed: 0x80000000
[2026-01-06 16:34:21.003] [error] 找不到标识符为 00DA5751514 的相机!
[2026-01-06 16:34:21.103] [warning] MV_CC_StopGrabbing failed: 0x80000000
[2026-01-06 16:34:21.111] [error] 找不到标识符为 00DA5751514 的相机!
[2026-01-06 16:34:21.211] [warning] MV_CC_StopGrabbing failed: 0x80000000
[2026-01-06 16:34:21.223] [error] 找不到标识符为 00DA5751514 的相机!
[2026-01-06 16:34:21.323] [warning] MV_CC_StopGrabbing failed: 0x80000000
[2026-01-06 16:34:21.330] [error] 找不到标识符为 00DA5751514 的相机!
[2026-01-06 16:34:21.430] [warning] MV_CC_StopGrabbing failed: 0x80000000
[2026-01-06 16:34:21.437] [error] 找不到标识符为 00DA5751514 的相机!
[2026-01-06 16:34:21.537] [warning] MV_CC_StopGrabbing failed: 0x80000000
[2026-01-06 16:34:21.549] [error] 找不到标识符为 00DA5751514 的相机!
[2026-01-06 16:34:21.649] [warning] MV_CC_StopGrabbing failed: 0x80000000
[2026-01-06 16:34:21.656] [error] 找不到标识符为 00DA5751514 的相机!
[2026-01-06 16:34:21.756] [warning] MV_CC_StopGrabbing failed: 0x80000000
[2026-01-06 16:34:21.763] [error] 找不到标识符为 00DA5751514 的相机!
[2026-01-06 16:34:21.863] [warning] MV_CC_StopGrabbing failed: 0x80000000
[2026-01-06 16:34:21.871] [error] 找不到标识符为 00DA5751514 的相机!
[2026-01-06 16:34:21.971] [warning] MV_CC_StopGrabbing failed: 0x80000000
[2026-01-06 16:34:21.977] [error] 找不到标识符为 00DA5751514 的相机!
[2026-01-06 16:34:22.077] [warning] MV_CC_StopGrabbing failed: 0x80000000
[2026-01-06 16:34:22.089] [error] 找不到标识符为 00DA5751514 的相机!
[2026-01-06 16:34:22.189] [warning] MV_CC_StopGrabbing failed: 0x80000000
[2026-01-06 16:34:22.196] [error] 找不到标识符为 00DA5751514 的相机!
[2026-01-06 16:34:22.296] [warning] MV_CC_StopGrabbing failed: 0x80000000
[2026-01-06 16:34:22.302] [error] 找不到标识符为 00DA5751514 的相机!
[2026-01-06 16:34:22.402] [warning] MV_CC_StopGrabbing failed: 0x80000000
