[2025-10-21 17:04:53.471] [info] [0] yolo: 106.0ms, tracker: 0.0ms, aimer: 0.0ms
[2025-10-21 17:04:53.554] [info] [1] yolo: 37.3ms, tracker: 1.2ms, aimer: 0.1ms
[2025-10-21 17:04:53.602] [info] [2] yolo: 37.2ms, tracker: 0.1ms, aimer: 0.0ms
[2025-10-21 17:04:53.733] [info] [3] yolo: 85.4ms, tracker: 0.9ms, aimer: 0.1ms
[2025-10-21 17:04:53.820] [info] [4] yolo: 44.0ms, tracker: 1.0ms, aimer: 0.1ms
[2025-10-21 17:04:53.923] [info] [5] yolo: 61.2ms, tracker: 1.1ms, aimer: 0.1ms
[2025-10-21 17:04:54.043] [info] [6] yolo: 72.4ms, tracker: 1.0ms, aimer: 0.1ms
[2025-10-21 17:04:54.141] [info] [7] yolo: 54.8ms, tracker: 1.8ms, aimer: 0.1ms
[2025-10-21 17:04:54.250] [info] [8] yolo: 64.8ms, tracker: 1.1ms, aimer: 0.1ms
[2025-10-21 17:04:54.352] [info] [9] yolo: 57.9ms, tracker: 1.5ms, aimer: 0.4ms
[2025-10-21 17:04:54.457] [info] [10] yolo: 53.5ms, tracker: 1.3ms, aimer: 0.1ms
[2025-10-21 17:04:54.545] [info] [11] yolo: 44.0ms, tracker: 1.9ms, aimer: 0.1ms
[2025-10-21 17:04:54.644] [info] [12] yolo: 55.8ms, tracker: 1.0ms, aimer: 0.1ms
[2025-10-21 17:04:54.765] [info] [13] yolo: 73.1ms, tracker: 1.6ms, aimer: 0.1ms
[2025-10-21 17:04:54.874] [info] [14] yolo: 65.0ms, tracker: 1.5ms, aimer: 0.1ms
[2025-10-21 17:04:54.968] [info] [15] yolo: 52.3ms, tracker: 1.4ms, aimer: 0.1ms
[2025-10-21 17:04:55.066] [info] [16] yolo: 52.6ms, tracker: 1.8ms, aimer: 0.1ms
[2025-10-21 17:04:55.156] [info] [17] yolo: 46.6ms, tracker: 1.1ms, aimer: 0.1ms
[2025-10-21 17:04:55.241] [info] [18] yolo: 43.7ms, tracker: 1.0ms, aimer: 0.1ms
[2025-10-21 17:04:55.338] [info] [19] yolo: 53.2ms, tracker: 1.5ms, aimer: 0.1ms
[2025-10-21 17:04:55.433] [info] [20] yolo: 48.6ms, tracker: 1.3ms, aimer: 0.1ms
[2025-10-21 17:04:55.529] [info] [21] yolo: 53.0ms, tracker: 1.0ms, aimer: 0.1ms
[2025-10-21 17:04:55.635] [info] [22] yolo: 61.8ms, tracker: 1.5ms, aimer: 0.1ms
[2025-10-21 17:04:55.721] [info] [23] yolo: 42.3ms, tracker: 1.2ms, aimer: 0.1ms
[2025-10-21 17:04:55.816] [info] [24] yolo: 52.1ms, tracker: 1.0ms, aimer: 0.1ms
[2025-10-21 17:04:55.919] [info] [25] yolo: 57.8ms, tracker: 1.0ms, aimer: 0.1ms
[2025-10-21 17:04:56.024] [info] [26] yolo: 59.9ms, tracker: 1.3ms, aimer: 0.1ms
[2025-10-21 17:04:56.113] [info] [27] yolo: 45.3ms, tracker: 1.3ms, aimer: 0.1ms
[2025-10-21 17:04:56.204] [info] [28] yolo: 46.8ms, tracker: 1.4ms, aimer: 0.1ms
[2025-10-21 17:04:56.306] [info] [29] yolo: 54.7ms, tracker: 1.2ms, aimer: 0.3ms
[2025-10-21 17:04:56.389] [debug] [Target] r=0.039, l=0.000
[2025-10-21 17:04:56.389] [debug] [Tracker] Target diverged!
[2025-10-21 17:04:56.389] [info] [30] yolo: 37.7ms, tracker: 1.9ms, aimer: 0.0ms
[2025-10-21 17:04:56.483] [info] [31] yolo: 50.8ms, tracker: 0.9ms, aimer: 0.1ms
[2025-10-21 17:04:56.579] [info] [32] yolo: 50.9ms, tracker: 1.1ms, aimer: 0.1ms
[2025-10-21 17:04:56.652] [info] [33] yolo: 29.7ms, tracker: 1.5ms, aimer: 0.1ms
[2025-10-21 17:04:56.742] [info] [34] yolo: 42.6ms, tracker: 2.4ms, aimer: 0.1ms
[2025-10-21 17:04:56.822] [info] [35] yolo: 35.9ms, tracker: 3.1ms, aimer: 0.1ms
[2025-10-21 17:04:56.909] [info] [36] yolo: 43.2ms, tracker: 1.3ms, aimer: 0.1ms
[2025-10-21 17:04:56.997] [info] [37] yolo: 43.8ms, tracker: 2.8ms, aimer: 0.1ms
[2025-10-21 17:04:57.101] [info] [38] yolo: 62.0ms, tracker: 1.3ms, aimer: 0.1ms
[2025-10-21 17:04:57.198] [info] [39] yolo: 54.1ms, tracker: 1.1ms, aimer: 0.1ms
[2025-10-21 17:04:57.301] [info] [40] yolo: 60.3ms, tracker: 1.0ms, aimer: 0.1ms
[2025-10-21 17:04:57.397] [info] [41] yolo: 53.8ms, tracker: 1.2ms, aimer: 0.1ms
[2025-10-21 17:04:57.492] [info] [42] yolo: 50.1ms, tracker: 1.2ms, aimer: 0.1ms
[2025-10-21 17:04:57.605] [info] [43] yolo: 66.2ms, tracker: 1.3ms, aimer: 0.1ms
[2025-10-21 17:04:57.717] [info] [44] yolo: 69.7ms, tracker: 1.0ms, aimer: 0.1ms
[2025-10-21 17:04:57.808] [info] [45] yolo: 48.2ms, tracker: 0.0ms, aimer: 0.1ms
[2025-10-21 17:04:57.906] [info] [46] yolo: 53.7ms, tracker: 1.6ms, aimer: 0.1ms
[2025-10-21 17:04:58.084] [info] [47] yolo: 130.4ms, tracker: 1.1ms, aimer: 0.1ms
