[2025-12-05 15:47:07.554] [info] [0] yolo: 46.3ms, tracker: 0.0ms, aimer: 0.0ms
[2025-12-05 15:47:07.607] [info] [1] yolo: 14.6ms, tracker: 1.8ms, aimer: 0.1ms
[2025-12-05 15:47:07.623] [info] [2] yolo: 11.9ms, tracker: 0.0ms, aimer: 0.0ms
[2025-12-05 15:47:07.667] [info] [3] yolo: 8.4ms, tracker: 0.4ms, aimer: 0.0ms
[2025-12-05 15:47:07.711] [info] [4] yolo: 8.5ms, tracker: 0.4ms, aimer: 0.0ms
[2025-12-05 15:47:07.756] [info] [5] yolo: 8.3ms, tracker: 0.5ms, aimer: 0.0ms
[2025-12-05 15:47:07.802] [info] [6] yolo: 9.3ms, tracker: 1.3ms, aimer: 0.1ms
[2025-12-05 15:47:07.850] [info] [7] yolo: 10.4ms, tracker: 0.4ms, aimer: 0.0ms
[2025-12-05 15:47:07.900] [info] [8] yolo: 12.9ms, tracker: 0.3ms, aimer: 0.0ms
[2025-12-05 15:47:07.946] [info] [9] yolo: 10.4ms, tracker: 0.3ms, aimer: 0.0ms
[2025-12-05 15:47:07.989] [info] [10] yolo: 7.4ms, tracker: 0.3ms, aimer: 0.0ms
[2025-12-05 15:47:08.034] [info] [11] yolo: 9.0ms, tracker: 0.3ms, aimer: 0.0ms
[2025-12-05 15:47:08.080] [info] [12] yolo: 10.6ms, tracker: 0.4ms, aimer: 0.0ms
[2025-12-05 15:47:08.126] [info] [13] yolo: 9.0ms, tracker: 0.3ms, aimer: 0.0ms
[2025-12-05 15:47:08.169] [info] [14] yolo: 8.4ms, tracker: 0.3ms, aimer: 0.0ms
[2025-12-05 15:47:08.215] [info] [15] yolo: 9.2ms, tracker: 0.3ms, aimer: 0.0ms
[2025-12-05 15:47:08.257] [info] [16] yolo: 7.7ms, tracker: 0.3ms, aimer: 0.0ms
[2025-12-05 15:47:08.302] [info] [17] yolo: 9.2ms, tracker: 0.3ms, aimer: 0.0ms
[2025-12-05 15:47:08.349] [info] [18] yolo: 10.4ms, tracker: 0.3ms, aimer: 0.0ms
[2025-12-05 15:47:08.394] [info] [19] yolo: 8.8ms, tracker: 0.4ms, aimer: 0.0ms
[2025-12-05 15:47:08.438] [info] [20] yolo: 7.5ms, tracker: 0.3ms, aimer: 0.0ms
[2025-12-05 15:47:08.480] [info] [21] yolo: 7.9ms, tracker: 0.4ms, aimer: 0.0ms
