[2026-01-09 11:06:43.556] [info] HikRobot's daemon thread started.
[2026-01-09 11:06:43.826] [info] HikRobot's capture thread started.
[2026-01-09 11:06:45.700] [info] HikRobot's daemon thread started.
[2026-01-09 11:06:45.942] [info] HikRobot's capture thread started.
[2026-01-09 11:06:48.615] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:48.630] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:48.640] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:48.655] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:48.665] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:48.680] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:48.690] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:48.705] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:48.715] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:48.730] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:48.740] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:48.755] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:48.765] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:48.780] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:48.790] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:48.805] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:48.815] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:48.830] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:48.840] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:48.855] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:48.865] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:48.880] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:48.890] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:48.905] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:48.915] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:48.930] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:48.940] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:48.955] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:48.965] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:48.980] [info] Gimbal Q -> w:0.597, x:0.020, y:0.009, z:-0.802
[2026-01-09 11:06:48.990] [info] Gimbal Q -> w:0.597, x:0.020, y:0.009, z:-0.802
[2026-01-09 11:06:49.005] [info] Gimbal Q -> w:0.597, x:0.020, y:0.009, z:-0.802
[2026-01-09 11:06:49.015] [info] Gimbal Q -> w:0.597, x:0.020, y:0.009, z:-0.802
[2026-01-09 11:06:49.030] [info] Gimbal Q -> w:0.597, x:0.020, y:0.009, z:-0.802
[2026-01-09 11:06:49.040] [info] Gimbal Q -> w:0.597, x:0.020, y:0.009, z:-0.802
[2026-01-09 11:06:49.055] [info] Gimbal Q -> w:0.597, x:0.020, y:0.009, z:-0.802
[2026-01-09 11:06:49.065] [info] Gimbal Q -> w:0.597, x:0.020, y:0.009, z:-0.802
[2026-01-09 11:06:49.080] [info] Gimbal Q -> w:0.597, x:0.020, y:0.009, z:-0.802
[2026-01-09 11:06:49.090] [info] Gimbal Q -> w:0.597, x:0.020, y:0.009, z:-0.802
[2026-01-09 11:06:49.105] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:49.115] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:49.130] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:49.140] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:49.155] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:49.165] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:49.180] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
