[2025-10-29 20:22:06.982] [info] [0] yolo: 42.2ms, tracker: 0.0ms, aimer: 0.0ms
[2025-10-29 20:22:07.032] [info] [1] yolo: 12.9ms, tracker: 0.3ms, aimer: 0.0ms
[2025-10-29 20:22:07.047] [info] [2] yolo: 11.2ms, tracker: 0.0ms, aimer: 0.0ms
[2025-10-29 20:22:07.091] [info] [3] yolo: 7.9ms, tracker: 0.3ms, aimer: 0.0ms
[2025-10-29 20:22:07.134] [info] [4] yolo: 8.2ms, tracker: 0.3ms, aimer: 0.0ms
[2025-10-29 20:22:07.181] [info] [5] yolo: 9.7ms, tracker: 0.4ms, aimer: 0.0ms
[2025-10-29 20:22:07.224] [info] [6] yolo: 8.5ms, tracker: 0.3ms, aimer: 0.0ms
[2025-10-29 20:22:07.272] [info] [7] yolo: 9.9ms, tracker: 0.7ms, aimer: 0.1ms
[2025-10-29 20:22:07.316] [info] [8] yolo: 8.4ms, tracker: 0.4ms, aimer: 0.0ms
[2025-10-29 20:22:07.357] [info] [9] yolo: 6.6ms, tracker: 0.4ms, aimer: 0.0ms
[2025-10-29 20:22:07.404] [info] [10] yolo: 10.1ms, tracker: 0.3ms, aimer: 0.0ms
[2025-10-29 20:22:07.447] [info] [11] yolo: 7.4ms, tracker: 0.3ms, aimer: 0.0ms
[2025-10-29 20:22:07.491] [info] [12] yolo: 8.4ms, tracker: 0.4ms, aimer: 0.0ms
[2025-10-29 20:22:07.534] [info] [13] yolo: 7.2ms, tracker: 0.4ms, aimer: 0.0ms
[2025-10-29 20:22:07.578] [info] [14] yolo: 7.7ms, tracker: 0.3ms, aimer: 0.0ms
[2025-10-29 20:22:07.622] [info] [15] yolo: 9.2ms, tracker: 0.6ms, aimer: 0.0ms
[2025-10-29 20:22:07.665] [info] [16] yolo: 7.8ms, tracker: 0.4ms, aimer: 0.0ms
[2025-10-29 20:22:07.709] [info] [17] yolo: 8.4ms, tracker: 0.4ms, aimer: 0.0ms
[2025-10-29 20:22:07.752] [info] [18] yolo: 8.2ms, tracker: 0.6ms, aimer: 0.0ms
[2025-10-29 20:22:07.795] [info] [19] yolo: 7.6ms, tracker: 0.3ms, aimer: 0.0ms
[2025-10-29 20:22:07.837] [info] [20] yolo: 7.8ms, tracker: 0.4ms, aimer: 0.0ms
[2025-10-29 20:22:07.880] [info] [21] yolo: 7.9ms, tracker: 0.4ms, aimer: 0.0ms
[2025-10-29 20:22:07.923] [info] [22] yolo: 8.5ms, tracker: 0.4ms, aimer: 0.0ms
