[2025-10-29 22:58:44.303] [info] [0] yolo: 43.7ms, tracker: 0.0ms, aimer: 0.0ms
[2025-10-29 22:58:44.355] [info] [1] yolo: 15.0ms, tracker: 0.5ms, aimer: 0.0ms
[2025-10-29 22:58:44.368] [info] [2] yolo: 9.9ms, tracker: 0.0ms, aimer: 0.0ms
[2025-10-29 22:58:44.412] [info] [3] yolo: 7.1ms, tracker: 0.4ms, aimer: 0.0ms
[2025-10-29 22:58:44.455] [info] [4] yolo: 8.0ms, tracker: 0.4ms, aimer: 0.0ms
[2025-10-29 22:58:44.502] [info] [5] yolo: 11.3ms, tracker: 0.3ms, aimer: 0.0ms
[2025-10-29 22:58:44.547] [info] [6] yolo: 10.2ms, tracker: 0.3ms, aimer: 0.0ms
[2025-10-29 22:58:44.595] [info] [7] yolo: 9.0ms, tracker: 0.4ms, aimer: 0.0ms
[2025-10-29 22:58:44.640] [info] [8] yolo: 9.9ms, tracker: 0.4ms, aimer: 0.0ms
[2025-10-29 22:58:44.684] [info] [9] yolo: 9.2ms, tracker: 0.3ms, aimer: 0.0ms
[2025-10-29 22:58:44.728] [info] [10] yolo: 9.6ms, tracker: 0.7ms, aimer: 0.0ms
[2025-10-29 22:58:44.771] [info] [11] yolo: 8.6ms, tracker: 0.3ms, aimer: 0.0ms
[2025-10-29 22:58:44.813] [info] [12] yolo: 7.4ms, tracker: 0.4ms, aimer: 0.0ms
[2025-10-29 22:58:44.858] [info] [13] yolo: 9.1ms, tracker: 0.4ms, aimer: 0.0ms
[2025-10-29 22:58:44.902] [info] [14] yolo: 9.3ms, tracker: 0.5ms, aimer: 0.0ms
[2025-10-29 22:58:44.945] [info] [15] yolo: 7.6ms, tracker: 0.3ms, aimer: 0.0ms
[2025-10-29 22:58:44.987] [info] [16] yolo: 7.5ms, tracker: 0.4ms, aimer: 0.0ms
[2025-10-29 22:58:45.032] [info] [17] yolo: 9.6ms, tracker: 0.5ms, aimer: 0.0ms
[2025-10-29 22:58:45.077] [info] [18] yolo: 8.4ms, tracker: 0.3ms, aimer: 0.0ms
[2025-10-29 22:58:45.121] [info] [19] yolo: 10.4ms, tracker: 0.3ms, aimer: 0.0ms
[2025-10-29 22:58:45.169] [info] [20] yolo: 12.1ms, tracker: 0.4ms, aimer: 0.0ms
[2025-10-29 22:58:45.213] [info] [21] yolo: 8.8ms, tracker: 0.6ms, aimer: 0.0ms
[2025-10-29 22:58:45.257] [info] [22] yolo: 8.6ms, tracker: 0.4ms, aimer: 0.0ms
[2025-10-29 22:58:45.299] [info] [23] yolo: 6.4ms, tracker: 0.4ms, aimer: 0.0ms
[2025-10-29 22:58:45.343] [info] [24] yolo: 8.9ms, tracker: 0.4ms, aimer: 0.0ms
[2025-10-29 22:58:45.389] [info] [25] yolo: 8.9ms, tracker: 0.4ms, aimer: 0.0ms
[2025-10-29 22:58:45.433] [info] [26] yolo: 8.4ms, tracker: 0.7ms, aimer: 0.0ms
[2025-10-29 22:58:45.481] [info] [27] yolo: 10.3ms, tracker: 0.3ms, aimer: 0.0ms
[2025-10-29 22:58:45.523] [info] [28] yolo: 7.4ms, tracker: 0.3ms, aimer: 0.0ms
[2025-10-29 22:58:45.567] [info] [29] yolo: 8.2ms, tracker: 0.4ms, aimer: 0.0ms
[2025-10-29 22:58:45.613] [debug] [Target] r=0.044, l=0.000
[2025-10-29 22:58:45.613] [debug] [Tracker] Target diverged!
[2025-10-29 22:58:45.613] [info] [30] yolo: 9.9ms, tracker: 0.5ms, aimer: 0.0ms
[2025-10-29 22:58:45.657] [info] [31] yolo: 8.1ms, tracker: 0.5ms, aimer: 0.0ms
[2025-10-29 22:58:45.701] [info] [32] yolo: 8.0ms, tracker: 0.4ms, aimer: 0.0ms
[2025-10-29 22:58:45.743] [info] [33] yolo: 7.5ms, tracker: 0.3ms, aimer: 0.0ms
[2025-10-29 22:58:45.786] [info] [34] yolo: 8.1ms, tracker: 0.4ms, aimer: 0.0ms
[2025-10-29 22:58:45.830] [info] [35] yolo: 9.7ms, tracker: 0.4ms, aimer: 0.0ms
[2025-10-29 22:58:45.875] [info] [36] yolo: 10.3ms, tracker: 0.4ms, aimer: 0.0ms
[2025-10-29 22:58:45.920] [info] [37] yolo: 9.9ms, tracker: 0.5ms, aimer: 0.0ms
[2025-10-29 22:58:45.961] [info] [38] yolo: 6.9ms, tracker: 0.5ms, aimer: 0.0ms
[2025-10-29 22:58:46.003] [info] [39] yolo: 7.2ms, tracker: 0.4ms, aimer: 0.0ms
[2025-10-29 22:58:46.046] [info] [40] yolo: 7.4ms, tracker: 0.3ms, aimer: 0.0ms
[2025-10-29 22:58:46.092] [info] [41] yolo: 10.5ms, tracker: 0.4ms, aimer: 0.0ms
[2025-10-29 22:58:46.136] [info] [42] yolo: 9.7ms, tracker: 0.0ms, aimer: 0.0ms
[2025-10-29 22:58:46.177] [info] [43] yolo: 6.5ms, tracker: 0.4ms, aimer: 0.0ms
[2025-10-29 22:58:46.224] [info] [44] yolo: 12.0ms, tracker: 0.4ms, aimer: 0.0ms
[2025-10-29 22:58:46.267] [info] [45] yolo: 7.8ms, tracker: 0.6ms, aimer: 0.0ms
[2025-10-29 22:58:46.313] [info] [46] yolo: 10.5ms, tracker: 0.4ms, aimer: 0.0ms
[2025-10-29 22:58:46.358] [info] [47] yolo: 9.7ms, tracker: 0.3ms, aimer: 0.0ms
[2025-10-29 22:58:46.399] [info] [48] yolo: 6.2ms, tracker: 0.4ms, aimer: 0.0ms
[2025-10-29 22:58:46.443] [info] [49] yolo: 10.4ms, tracker: 0.3ms, aimer: 0.0ms
[2025-10-29 22:58:46.487] [info] [50] yolo: 8.7ms, tracker: 0.3ms, aimer: 0.0ms
[2025-10-29 22:58:46.534] [info] [51] yolo: 12.5ms, tracker: 0.0ms, aimer: 0.1ms
[2025-10-29 22:58:46.578] [info] [52] yolo: 7.3ms, tracker: 0.4ms, aimer: 0.0ms
[2025-10-29 22:58:46.620] [info] [53] yolo: 8.0ms, tracker: 0.0ms, aimer: 0.0ms
[2025-10-29 22:58:46.662] [info] [54] yolo: 6.8ms, tracker: 0.0ms, aimer: 0.0ms
[2025-10-29 22:58:46.707] [info] [55] yolo: 9.1ms, tracker: 0.0ms, aimer: 0.0ms
[2025-10-29 22:58:46.749] [info] [56] yolo: 7.6ms, tracker: 0.0ms, aimer: 0.0ms
[2025-10-29 22:58:46.794] [info] [57] yolo: 9.5ms, tracker: 0.0ms, aimer: 0.0ms
[2025-10-29 22:58:46.837] [info] [58] yolo: 8.7ms, tracker: 0.0ms, aimer: 0.0ms
[2025-10-29 22:58:46.880] [info] [59] yolo: 7.2ms, tracker: 0.0ms, aimer: 0.0ms
[2025-10-29 22:58:46.924] [info] [60] yolo: 8.9ms, tracker: 0.4ms, aimer: 0.0ms
[2025-10-29 22:58:46.967] [info] [61] yolo: 9.3ms, tracker: 0.0ms, aimer: 0.0ms
[2025-10-29 22:58:47.009] [debug] [Target] r=0.042, l=0.000
[2025-10-29 22:58:47.009] [debug] [Tracker] Target diverged!
[2025-10-29 22:58:47.009] [info] [62] yolo: 7.9ms, tracker: 0.4ms, aimer: 0.0ms
[2025-10-29 22:58:47.051] [info] [63] yolo: 6.8ms, tracker: 0.3ms, aimer: 0.0ms
[2025-10-29 22:58:47.097] [info] [64] yolo: 9.0ms, tracker: 0.4ms, aimer: 0.0ms
