[2025-12-21 14:18:09.668] [info] [Gimbal] read_thread started.
[2025-12-21 14:18:09.669] [info] [Gimbal] First q received.
[2025-12-21 14:18:09.833] [info] HikRobot's daemon thread started.
[2025-12-21 14:18:09.965] [info] 初始化相机: FRONT
[2025-12-21 14:18:10.149] [info] HikRobot's capture thread started.
[2025-12-21 14:18:11.966] [info] HikRobot's daemon thread started.
[2025-12-21 14:18:12.114] [info] 初始化相机: BACK
[2025-12-21 14:18:12.278] [info] HikRobot's capture thread started.
[2025-12-21 14:18:14.152] [debug] Final command sent - control:false, shoot:false, yaw:0.000°, pitch:0.000°
[2025-12-21 14:18:14.152] [debug] [Gimbal] Sending command - control:false, fire:false, yaw:0.000, pitch:0.000
[2025-12-21 14:18:14.178] [debug] Final command sent - control:false, shoot:false, yaw:0.000°, pitch:0.000°
[2025-12-21 14:18:14.178] [debug] [Gimbal] Sending command - control:false, fire:false, yaw:0.000, pitch:0.000
[2025-12-21 14:18:14.211] [debug] Final command sent - control:false, shoot:false, yaw:0.000°, pitch:0.000°
[2025-12-21 14:18:14.211] [debug] [Gimbal] Sending command - control:false, fire:false, yaw:0.000, pitch:0.000
[2025-12-21 14:18:14.237] [debug] Final command sent - control:false, shoot:false, yaw:0.000°, pitch:0.000°
[2025-12-21 14:18:14.237] [debug] [Gimbal] Sending command - control:false, fire:false, yaw:0.000, pitch:0.000
[2025-12-21 14:18:14.261] [debug] Final command sent - control:false, shoot:false, yaw:0.000°, pitch:0.000°
[2025-12-21 14:18:14.261] [debug] [Gimbal] Sending command - control:false, fire:false, yaw:0.000, pitch:0.000
[2025-12-21 14:18:14.287] [debug] Final command sent - control:false, shoot:false, yaw:0.000°, pitch:0.000°
[2025-12-21 14:18:14.287] [debug] [Gimbal] Sending command - control:false, fire:false, yaw:0.000, pitch:0.000
[2025-12-21 14:18:14.308] [debug] Final command sent - control:false, shoot:false, yaw:0.000°, pitch:0.000°
[2025-12-21 14:18:14.308] [debug] [Gimbal] Sending command - control:false, fire:false, yaw:0.000, pitch:0.000
[2025-12-21 14:18:14.332] [debug] Final command sent - control:false, shoot:false, yaw:0.000°, pitch:0.000°
[2025-12-21 14:18:14.332] [debug] [Gimbal] Sending command - control:false, fire:false, yaw:0.000, pitch:0.000
[2025-12-21 14:18:14.358] [debug] Final command sent - control:false, shoot:false, yaw:0.000°, pitch:0.000°
[2025-12-21 14:18:14.358] [debug] [Gimbal] Sending command - control:false, fire:false, yaw:0.000, pitch:0.000
[2025-12-21 14:18:14.380] [debug] Final command sent - control:false, shoot:false, yaw:0.000°, pitch:0.000°
[2025-12-21 14:18:14.380] [debug] [Gimbal] Sending command - control:false, fire:false, yaw:0.000, pitch:0.000
[2025-12-21 14:18:14.404] [debug] Final command sent - control:false, shoot:false, yaw:0.000°, pitch:0.000°
[2025-12-21 14:18:14.404] [debug] [Gimbal] Sending command - control:false, fire:false, yaw:0.000, pitch:0.000
